autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor,conteudo_tokens,conteudo_stem,conteudo_lema
Francisco F.,4.0,"Sou fã de desenho animado e dos filmes da Pixar. É um filme bem feito e com uma linda lição de moral, porém períodos lentos e menos humor e carisma que poderia conter.",180.0,118.0,fã desenho animado filmes pixar filme feito linda lição moral períodos lentos humor carisma poderia conter,fã desenh anim film pix film feit lind liç moral períod lent hum carism pod cont,fã desenho animar filme pixar filme fazer lindo lição moral período lento humor carisma poder conter
Ronaldo M,5.0,"Wall-E vai muito mais além da história de um robozinho solitário, feio, pobre, maltrapilho, operário,  que se apaixona pela linda e exótica robozinha Eva, por quem tenta chamar a atenção e conquistá-la gradativamente com sua dedicação e cuidados, comprovando que ""quem ama cuida"".O olhar expressivo e as emoções passadas por um robozinho de metal com espírito de uma criança alegre, ingênua e curiosa,  conquista de imediato qualquer espectador, seja adulto ou infantil.Além do simples entretenimento, o desenho é uma crítica à sociedade de consumo e ao capitalismo selvagem, que vem esgotando os recursos naturais do nosso planeta e nos convida para uma reflexão sobre a nossa existência e sobrevivência.A sociedade, inteligentemente representada por personagens da classe média, sedentária, obesa, bitolada, que não consegue enxergar além de um palmo do seu nariz, diante de seus olhos (com monitores de TVs), são há todo instante, manipulados, idiotizados e conduzidos  pela mídia: O que pensar, o que comer, o que vestir, onde ir, qual a cor da moda, o que é bom, o que é ruim, conceitos e valores, conduzindo-os pela automação e pelo sistema, que vai punir quem ousar subvertê-lo.A produção e a qualidade técnica são impecáveis, vale à pena conferir!",36.0,24.0,"wall-e história robozinho solitário feio pobre maltrapilho operário   apaixona linda exótica robozinha eva tenta chamar atenção conquistá-la gradativamente dedicação cuidados comprovando ama cuida"" olhar expressivo emoções passadas robozinho metal espírito criança alegre ingênua curiosa   conquista imediato espectador seja adulto infantil simples entretenimento desenho crítica sociedade consumo capitalismo selvagem esgotando recursos naturais planeta convida reflexão existência sobrevivência sociedade inteligentemente representada personagens classe média sedentária obesa bitolada consegue enxergar palmo nariz olhos monitores tvs há instante manipulados idiotizados conduzidos   mídia pensar comer vestir cor moda ruim conceitos valores conduzindo-os automação punir ousar subvertê-lo produção qualidade técnica impecáveis vale pena conferir","wall- histór rob solit fei pobr maltrapilh oper   apaix lind exó rob eva tent cham atenç conquistá-l gradativ dedic cuid comprov ama cuida"" olh express emoç pass rob metal espírit crianç alegr ingênu curi   conqu imediat espect sej adult infantil simpl entreten desenh crít sociedad consum capit selv esgot recurs natur planet conv reflex exist sobreviv sociedad intelig represent person cl méd sedentár obes bitol conseg enxerg palm nariz olh moni tv há instant manipul idio conduz   míd pens com vest cor mod ruim conceit val conduzindo- autom pun ous subvertê-l produç qual técn impec val pen confer","wall-e história robozinho solitário feio pobre Maltrapilho operário    apaixonar lindo exótico robozinho eva tentar chamar atenção conquistar ela gradativamente dedicação cuidar comprovar amar cuida "" olhar expressivo emoção passar robozinho metal espírito criança alegre ingênuo curioso    conquista imediato espectador ser adulto infantil simples entretenimento desenho críticar sociedade consumo capitalismo selvagem esgotar recurso natural planeta convidar reflexão existência sobrevivência sociedade inteligentemente representar personagem classe médio sedentária obeso bitolar conseguir enxergar palmo nariz olho monitor tv haver instante manipular idiotizar conduzido    mídia pensar comer vestir cor moda ruim conceito valor conduzindo-os automação punir ousar subvertê-lo produção qualidade técnico impecável valer pena conferir"
DANIEL BARRAL,5.0,"Um excelente filme de ficção científica da Pixar. O filme conta a história de um robozinho solitário que coleta lixo de uma Terra situada em 2700, após a atmosfera ser poluída por gases tóxicos, causadas pelo homem, até que tudo muda quando ele conhece Eva. Um excelente filme, um dos meus favoritos da Pixar e com um final muito emocionante.",217.0,23.0,excelente filme ficção científica pixar filme conta história robozinho solitário coleta lixo terra situada 2700 atmosfera poluída gases tóxicos causadas homem muda conhece eva excelente filme favoritos pixar emocionante,excel film ficçã científ pix film cont histór rob solit colet lix terr situ 2700 atmosf polu gas tóxic caus hom mud conhec eva excel film favorit pix emocion,excelente filme ficção científico pixar filme contar história robozinho solitário coleta lixo terra situar 2700 atmosfera poluída gases tóxico causar homem mudar conhecer eva excelente filme favorito pixar emocionante
Ravi Oliveira,4.5,"Sinopse:Após entulhar a Terra de lixo e poluir a atmosfera com gases tóxicos, a humanidade deixou o planeta e passou a viver em uma gigantesca nave. O plano era que o retiro durasse alguns poucos anos, com robôs sendo deixados para limpar o planeta. WALL-E é o último destes robôs, e sua vida consiste em compactar o lixo existente no planeta. Até que um dia surge repentinamente uma nave, que traz um novo e moderno robô: Eva. A princípio curioso, WALL-E se apaixona e resolve segui-la por toda a galáxia.Crítica:""WALL-E"" é uma obra da animação que vai além da simplicidade de um filme infantil. Dirigido por Andrew Stanton, o filme apresenta uma narrativa envolvente que mescla romance e ficção científica, tudo isso em um futuro distópico onde a humanidade deixou a Terra em um estado de abandono. No cerne da história está WALL-E, um robô com uma singularidade que transcende suas funções programadas—sua curiosidade e capacidade de amar.O filme se destaca pela sua abordagem visual. Desde as sequências iniciais, onde a comunicação é quase silenciosa, somos levados a apreciar a expressão e a linguagem corporal de WALL-E. Essa escolha de narrar uma história com tão poucos diálogos é corajosa e muito eficaz, permitindo que o público se conecte emocionalmente com o personagem principal sem palavras.Além disso, ""WALL-E"" não é apenas uma história de amor robótico; é uma crítica social contundente sobre o consumismo desenfreado e a degradação ambiental. O cenário da Terra, coberta de lixo e devastada, serve como um poderoso lembrete das consequências de nossas ações coletivas. A maneira como o filme aborda temas complexos como a obesidade e o estilo de vida sedentário da humanidade futurista é sutil, mas impactante.A trilha sonora de Thomas Newman é outro ponto alto, complementando as emoções já expressadas através das imagens. Os sons robóticos e a música delicada criam uma atmosfera mágica que realça os momentos de descoberta e conexão entre WALL-E e EVE.A animação é impressionante, com detalhes meticulosos que trazem vida a um mundo futurista. A Pixar, mais uma vez, prova sua habilidade em criar personagens memoráveis e mundos cativantes que não apenas entretêm, mas também incitam reflexão.Embora seja um filme voltado para o público jovem, ""WALL-E"" ressoa com espectadores de todas as idades, provando que histórias bem contadas podem transcender gerações e provocar conversas relevantes sobre nosso futuro. Em resumo, ""WALL-E"" é um triunfo da animação que combina entretenimento e mensagem de maneira sublime. É uma obra que continua a inspirar e fazer refletir, mesmo anos após seu lançamento.",388.0,17.0,"sinopse entulhar terra lixo poluir atmosfera gases tóxicos humanidade deixou planeta passou viver gigantesca nave plano retiro durasse poucos anos robôs sendo deixados limpar planeta wall-e destes robôs vida consiste compactar lixo existente planeta dia surge repentinamente nave traz moderno robô eva princípio curioso wall-e apaixona resolve segui-la galáxia crítica:"" wall-e obra animação simplicidade filme infantil dirigido andrew stanton filme apresenta narrativa envolvente mescla romance ficção científica futuro distópico humanidade deixou terra abandono cerne história wall-e robô singularidade transcende funções programadas — curiosidade capacidade amar filme destaca abordagem visual sequências iniciais comunicação quase silenciosa levados apreciar expressão linguagem corporal wall-e. escolha narrar história poucos diálogos corajosa eficaz permitindo público conecte emocionalmente personagem principal palavras wall-e história amor robótico crítica social contundente consumismo desenfreado degradação ambiental cenário terra coberta lixo devastada serve poderoso lembrete consequências ações coletivas maneira filme aborda temas complexos obesidade estilo vida sedentário humanidade futurista sutil impactante trilha sonora thomas newman outro alto complementando emoções expressadas imagens sons robóticos música delicada criam atmosfera mágica realça momentos descoberta conexão wall-e eve.a animação impressionante detalhes meticulosos trazem vida mundo futurista pixar prova habilidade criar personagens memoráveis mundos cativantes entretêm incitam reflexão seja filme voltado público jovem wall-e ressoa espectadores idades provando histórias contadas transcender gerações provocar conversas relevantes futuro resumo wall-e triunfo animação combina entretenimento mensagem maneira sublime obra continua inspirar refletir anos lançamento","sinops entulh terr lix polu atmosf gas tóxic human deix planet pass viv gigantesc nav plan retir dur pouc ano robô send deix limp planet wall- dest robô vid cons compact lix exist planet dia surg repentin nav traz modern robô eva princípi curi wall- apaix resolv segui-l galáx crítica:"" wall- obr anim simplic film infantil dirig andrew stanton film apresent narr envolv mescl romanc ficçã científ futur distóp human deix terr abandon cern histór wall- robô singular transcend funç program — curios capac am film destac abord visual sequ inic comunic quas silenci lev apreci express lingu corpor wall-e. escolh narr histór pouc diálog coraj eficaz permit públic conect emoc person princip palavr wall- histór am robó crít soc contund consum desenfre degrad ambient cen terr cobert lix devast serv poder lembret consequ açõ cole man film abord tem complex obes estil vid sedent human futur sutil impact trilh son thom newman outr alt complement emoç express imag som robó músic delic cri atmosf mágic realç moment descobert conex wall- eve. anim impression detalh meticul traz vid mund futur pix prov habil cri person memor mund cativ entretêm incit reflex sej film volt públic jov wall- resso espect idad prov histór cont transcend ger provoc convers relev futur resum wall- triunf anim combin entreten mens man sublim obr continu inspir reflet ano lanç","sinopse entulhar terra lixo poluir atmosfera gases tóxico humanidade deixar planeta passar viver gigantesco nave plano retirar durar pouco ano robôs ser deixar limpar planeta wall-e de este robôs vida consistir compactar lixo existente planeta dia surgir repentinamente nave trazer moderno robô eva princípio curioso wall-e apaixonar resolver segui-la galáxia crítico : "" wall-e obra animação simplicidade filme infantil dirigir Andrew Stanton filme apresentar narrativa envolvente mescla romance ficção científico futuro distópico humanidade deixar terra abandono cerne história wall-e robô singularidade transcender função programar — curiosidade capacidade amar filme destacar abordagem visual sequência inicial comunicação quase silencioso levar apreciar expressão linguagem corporal wall-e . escolhar narrar história pouco diálogo corajoso eficaz permitir público conecter emocionalmente personagem principal palavras wall-e história amor robótico crítico social contundente consumismo desenfrear degradação ambiental cenário terra cobrir lixo devastar servir poderoso lembrete consequêncio ação coletivo maneira filme abordar tema complexo obesidade estilo vida sedentário humanidade futurista sutil impactante trilha sonoro thomas newman outro alto complementar emoção expressar imagem som robótico música delicado criar atmosfera mágico realçar momento descobrir conexão wall-e eve.a animação impressionante detalhe meticuloso trazer vida mundo futurista pixar prova habilidade criar personagem memorável mundo cativante entreter incitam reflexão ser filme voltar público jovem wall-e ressoa espectador idade provar história contar transcender geração provocar conversa relevante futuro resumo wall-e triunfo animação combinar entretenimento mensagem maneira sublime obra continuar inspirar refletir ano lançamento"
Um visitante,4.0,"Já passamos do tempo,em que as animações voltavam suas histórias apenas para o público infantil.Se bem,que ainda temos histórias que ainda insistam nesse público.Mais quando demos conta de está assistindo Wall-E ,saberemos que o filme não foi produzido para os olhos das crianças.Wall-E é uma das maiores tarefas da Disney.Que nos aprecia com uma forma de um cinema que já encantou gerações.Com poucos personagens ,o filme ainda assim nos preenche de uma maneira única.Onde viveremos angústias,e principalmente as aventuras que sempre estão trazendo Wall.Um ser solitário,que está rodeado de lixo e nada mais.A solidão do Wall é um dos pontos mais tristes de todo o filme.Mais há de aparecer um ser,quer dizer,mais uma máquina para compartilhar momentos bem mais do que interessantes.A responsável é a bem desenhada Eve.Que irá despertar algum interesse no antigo solitário.",,,passamos animações voltavam histórias público infantil histórias insistam público demos conta assistindo wall-e saberemos filme produzido olhos crianças wall-e maiores tarefas disney aprecia cinema encantou gerações poucos personagens filme preenche maneira única viveremos angústias principalmente aventuras trazendo wall solitário rodeado lixo solidão wall tristes filme há aparecer máquina compartilhar momentos interessantes responsável desenhada eve despertar algum interesse antigo solitário,pass anim volt histór públic infantil histór insist públic dem cont assist wall- sab film produz olh crianç wall- mai taref disney apreci cinem encant ger pouc person film preench man únic viv angúst princip avent traz wall solit rode lix solid wall trist film há aparec máquin compartilh moment interess respons desenh eve despert algum inter antig solit,passar animação voltar história público infantil história insistar público der contar assistir wall-e sabere filme produzir olho criança wall-e grande tarefa disney aprecer cinema encantar geração pouco personagem filme preencher maneira único viverer angústia principalmente aventura trazer wall solitário rodeado lixo solidão wall triste filme haver aparecer máquina compartilhar momento interessante responsável desenhar eve despertar algum interesse antigo solitário
Leonardo A,4.0,Animação de ficção científica distópica e que anteviu toda a crise de poluentes e sustentabilidade no planeta.,187.0,11.0,animação ficção científica distópica anteviu crise poluentes sustentabilidade planeta,anim ficçã científ distóp antev cris polu sustent planet,animação ficção científico distópico anteviu crise poluente sustentabilidade planeta
apenasumr,4.0,Uma das melhores animaçoes da disney com um ótimo 3D e diversão espaçial recomendado para qualquer idade,449.0,3884.0,melhores animaçoes disney ótimo 3d diversão espaçial recomendado idade,melhor animaço disney ótim 3d divers espaç recomend idad,bom animaçoe disney ótimo 3d diversão espaçial recomendar idade
Jhonathan C.,4.5,"É incrível. Explêndido. A cada vez a Pixar se supera demais. Um Wall.E é um personagem simples, praticamente sem fala, mas que, pra quem já assistiu, não é necessário. Foi uma animação muito emotiva, um pouco confusa para as crianças, mas de super entendimento do adultos.",415.0,3306.0,incrível explêndido pixar supera wall personagem simples praticamente fala pra assistiu necessário animação emotiva confusa crianças super entendimento adultos,incr explênd pix sup wall person simpl pratic fal pra assist necess anim emot confus crianç sup entend adult,incrível explêndido pixar superar wall personagem simples praticamente falar pra assistir necessário animação emotivo confuso criança super entendimento adulto
Renata,5.0,Adoro!!!!Até os robôs se apaixonam...É incrível como os criadores desses filmes enxergam a terra daqui uns anos....,21.0,14.0,adoro!!!!até robôs apaixonam ... incrível criadores desses filmes enxergam terra daqui anos ....,adoro!!!!até robô apaixon ... incr cri dess film enxerg terr daqu ano ....,adoro!!!!até robô apaixonar ... incrível criador de esse filme enxergar terra de aqui ano ....
Mateus B,2.0,"Nesse filke a pixar não foi pixar,essa história até é boa mais é um pouci mal desenvolvida,walle é um personagem que não carisma como woody e buzz,de longe o pior filme da pixar.péssimo.",95.0,37.0,filke pixar pixar história pouci desenvolvida walle personagem carisma woody buzz pior filme pixar.péssimo,filk pix pix histór pouc desenvolv wall person carism woody buzz pi film pixar.péss,filke pixar pixar história pouci desenvolver Walle personagem carisma woody buzz mau filme pixar.péssimo
leonardo,4.5,"Sem duvidas um dos melhores filmes da Pixar, com uma historia muito bem construida. O carisma de Wall-E encanta muito e é o ponto mais forte do filme.",102.0,37.0,duvidas melhores filmes pixar historia construida carisma wall-e encanta forte filme,duvid melhor film pix hist constru carism wall- encant fort film,duvida bom filme pixar historia construer carisma wall-e encantar forte filme
Mauricio C.,5.0,"Como não aplaudir essa obra prima de animação que solta uma crítica ao nosso presente, mostrando para nós o que pode estar por vir,  com um romance  da mais sincera forma possível entre wall-e e Eva",49.0,10.0,aplaudir obra prima animação solta crítica presente mostrando vir   romance   sincera wall-e eva,aplaud obr prim anim solt crít pres mostr vir   romanc   sinc wall- eva,aplaudir obra primo animação soltar crítico presente mostrar vir    romance    sincer wall-e eva
Ricardo A.,5.0,"Um dos melhores filmes de animação feitos pela Pixar na atualidade. Para mim uma obra prima do gênero, especialmente quando lançam mão de diálogos autoexplicativos para se fazerem entender tanto por crianças quanto por adultos passando uma mensagem de amor ao próximo e ao planeta em que vivemos. Além disso outros subtemas como má educação alimentar, romance entre ""diferentes classes sociais de robôs"", mundo moderno e virtualidade, são outros pontos citados no filme com muito esmero. Um clássico para ser revisto sempre que se quiser se emocionar com pequenas coisas, como por exemplo o relacionamento de um robô e uma barata, sua única amiga.",174.0,167.0,melhores filmes animação feitos pixar atualidade mim obra prima gênero especialmente lançam mão diálogos autoexplicativos fazerem entender crianças adultos passando mensagem amor planeta vivemos subtemas má educação alimentar romance diferentes classes sociais robôs mundo moderno virtualidade citados filme esmero clássico revisto quiser emocionar pequenas coisas relacionamento robô barata única amiga,melhor film anim feit pix atual mim obr prim gêner espec lanç mão diálog autoexplic faz entend crianç adult pass mens am planet viv subtem má educ aliment romanc difer cl soc robô mund modern virtual cit film esmer cláss revist quis emocion pequen cois relacion robô barat únic amig,bom filme animação fazer pixar atualidade eu obra primo gênero especialmente lançar mão diálogo autoexplicativo fazer entender criança adulto passar mensagem amor planeta vivemos subtema má educação alimentar romance diferentes classe social robôs mundo moderno virtualidade citar filme esmero clássico revisto querer emocionar pequeno coisa relacionamento robô barato único amiga
Higor Barion,5.0,"Como sempre a Pixar sempre me impressiona, não só pela alta qualidade na animaçãomas também pela riqueza na história.Um filme mágico que vale a pena ser visto e revisto por qualquer um.Nota 5 de 5.",11.0,87.0,pixar impressiona alta qualidade animaçãomas riqueza história filme mágico vale pena visto revisto nota 5 5,pix impress alt qual animaçãom riqu histór film mágic val pen vist revist not 5 5,pixar impressionar alto qualidade animaçãomas riqueza histório filme mágico valer pena ver revisto nota 5 5
Ferris Bueller N.,5.0,Um Dos filmes mais belos e tocantes já feitos. Obra-prima,94.0,45.0,filmes belos tocantes feitos obra-prima,film bel toc feit obra-pr,filme belo tocante fazer obra-prima
Andrew Houtarou,5.0,"Desde de sua primeira animação Toy Story a Pixar vem fazendo uma sequência de bons filmes, incluindo o aclamado Toy Story, e desde então, a Pixar tenta manter a boa sequência de sucessos. Com Wall-e, a Pixar arriscou mais uma vez em uma história que foge dos padrões normais das animações, contando uma história de um robô solitário, em uma terra inóspita, num futuro distante.Logo de começo, vemos a famosa ''pitada'' única da Pixar em seus filmes, apresentando histórias incomuns que acabam por chamar atenção, tanto dos baixinhos, quanto dos altinhos, sendo pelo seu roteiro maduro (para os adultos) e divertido (para as crianças), Wall-e se destaca, tanto em atributos técnicos (som, trilha sonora etc...) quanto a seu roteiro muito bem construído, trazendo, também, algumas  homenagens ao cinema mudo e citações a clássicos como Alô, Dolly! (1969).O filme começa com o robô Wall-e, fazendo o seu trabalho, que é recolher o lixo pela superfície da terra, e logo então, aparece Eva, uma robô projetada para procurar sinais que possam representar que a terra está pronta para ser recolonizada. Ainda na terra, Wall-e acaba se apaixonando por Eva (algo impossível, se tratando de robôs) e com isso, Wall-e, a todo momento, tenta discretamente chamar a atenção de Eva para si, e no meio disso, acaba sem querer, embarcando numa nave (que veio para a terra com o objetivo de recolher Eva) por estar seguindo-a.Desde o começo, dá para perceber o capricho nos atributos técnicos por parte da Pixar, uma excelente trilha sonora (com direito a indicação) combinando com belas imagens do espaço, junto a uma fotografia impressionante, Wall-e dá um show de atributos técnicos, principalmente pelo áudio, com indicações a Melhor Edição de Som e Melhor Mixagem de Som, sem contar pela indicação a Melhor Canção Original pelo belíssimo Down to Earth. Wall-e consegue um feito inédito nas animações, ser indicado a 6 oscars (incluindo Melhor Roteiro Original).Wall-e, além de ter um apuro técnico invejável, se destaca por um roteiro muito bem trabalhado, e além disso, maduro, ensinando coisas tanto para crianças quanto para adultos. Além disso, o filme tem lindas cenas, sejam emocionantes, sejam lindas de ver, como o bale espacial de Wall-e e Eva, uma obra de arte, um trunfo paras as animações.No final, o filme entrega uma conclusão genial, digna de uma animnação da Pixar, que como sempre, consegue surpreender com suas idéias inovadoras, que sempre nos tocam, sejam por por bons roteiros, seja pela sua impressionante criatividade. Sendo assim, Wall-e consegue desbancar grandes animações da história, incluindo o aclamado O Rei Leão, da Disney, se firmando, provavelmente, como a Melhor Animação da história.",10.0,37.0,animação toy story pixar fazendo sequência bons filmes incluindo aclamado toy story pixar tenta manter sequência sucessos wall-e pixar arriscou história foge padrões normais animações contando história robô solitário terra inóspita futuro distante começo vemos famosa '' pitada '' única pixar filmes apresentando histórias incomuns acabam chamar atenção baixinhos altinhos sendo roteiro maduro adultos divertido crianças wall-e destaca atributos técnicos som trilha sonora etc ... roteiro construído trazendo   homenagens cinema mudo citações clássicos alô dolly 1969).o filme começa robô wall-e fazendo trabalho recolher lixo superfície terra aparece eva robô projetada procurar sinais possam representar terra pronta recolonizada terra wall-e acaba apaixonando eva impossível tratando robôs wall-e tenta discretamente chamar atenção eva si acaba querer embarcando nave veio terra objetivo recolher eva seguindo-a começo perceber capricho atributos técnicos pixar excelente trilha sonora direito indicação combinando belas imagens espaço junto fotografia impressionante wall-e show atributos técnicos principalmente áudio indicações melhor edição som melhor mixagem som contar indicação melhor canção original belíssimo down to earth wall-e consegue feito inédito animações indicado 6 oscars incluindo melhor roteiro original). wall-e apuro técnico invejável destaca roteiro trabalhado maduro ensinando coisas crianças adultos filme lindas cenas sejam emocionantes sejam lindas bale espacial wall-e eva obra arte trunfo paras animações filme entrega conclusão genial digna animnação pixar consegue surpreender idéias inovadoras tocam sejam bons roteiros seja impressionante criatividade sendo wall-e consegue desbancar animações história incluindo aclamado rei leão disney firmando provavelmente melhor animação história,anim toy story pix faz sequ bom film inclu aclam toy story pix tent mant sequ sucess wall- pix arrisc histór fog padr norm anim cont histór robô solit terr inóspit futur dist começ vem fam '' pitad '' únic pix film apresent histór incomum acab cham atenç baix alt send rot madur adult divert crianç wall- destac atribut técn som trilh son etc ... rot constru traz   homen cinem mud cit cláss alô dolly 1969). film começ robô wall- faz trabalh recolh lix superfíci terr aparec eva robô projet procur sinal poss represent terr pront recolon terr wall- acab apaixon eva imposs trat robô wall- tent discret cham atenç eva si acab quer embarc nav vei terr obje recolh eva seguindo- começ perceb caprich atribut técn pix excel trilh son direit indic combin bel imag espaç junt fotograf impression wall- show atribut técn princip áudi indic melhor ediç som melhor mix som cont indic melhor cançã orig bel down to earth wall- conseg feit inédit anim indic 6 osc inclu melhor rot original). wall- apur técn invej destac rot trabalh madur ensin cois crianç adult film lind cen sej emocion sej lind bal espac wall- eva obr art trunf par anim film entreg conclus gen dign animn pix conseg surpreend idé inov toc sej bom rot sej impression criat send wall- conseg desbanc anim histór inclu aclam rei leã disney firm prova melhor anim histór,animação toy story pixar fazer sequência bom filme incluir aclamar toy story pixar tentar manter sequência sucesso wall-e pixar arriscar história fugir padrão normal animação contar história robô solitário terra inóspita futuro distante começo ver famoso '' pitar '' único pixar filme apresentar história incomuns acabar chamar atenção baixinho altinho ser roteiro maduro adulto divertido criança wall-e destacar atributo técnico som trilha sonoro etc ... roteiro construir trazer    homenagem cinema mudo citação clássico alô dolly 1969).o filme começar robô wall-e fazer trabalho recolher lixo superfície terra aparecer eva robô projetar procurar sinal poder representar terra pronto recolonizar terra wall-e acabar apaixonar eva impossível tratar robôs wall-e tentar discretamente chamar atenção eva si acabar querer embarcar nave vir terra objetivo recolher eva seguindo-a começo perceber capricho atributo técnico pixar excelente trilha sonoro direito indicação combinar belo imagem espaço junto fotografia impressionante wall-e show atributo técnico principalmente áudio indicação bom edição som bom mixagem som contar indicação bom canção original belíssimo down to earth wall-e conseguir fazer inédito animação indicar 6 oscars incluir bom roteiro original ) . wall-e apuro técnico invejável destacar roteiro trabalhar maduro ensinar coisa criança adulto filme lindo cena ser emocionante ser lindo bale espacial wall-e eva obra arte trunfo para animação filme entregar conclusão genial digno animnação pixar conseguir surpreender idéia inovadoro tocar ser bom roteiro ser impressionante criatividade ser wall-e conseguir desbancar animação histório incluir aclamar rei leão disney firmar provavelmente bom animação histório
Estevan Magno,4.0,"A Pixar e seus desenhos que nos matam do coração. É de partir a alma mas ao mesmo tempo um alerta para a poluição mundial e desrespeito a natureza. Outro diferencial deste filme são os personagens que apenas com gestos e olhares conseguem nos transmitir o que pensam, sensacional, parabéns aos estúdios por essa animação.",490.0,5226.0,pixar desenhos matam coração alma alerta poluição mundial desrespeito natureza outro diferencial filme personagens gestos olhares conseguem transmitir pensam sensacional parabéns estúdios animação,pix desenh mat coraçã alm alert polu mund desrespeit natur outr difer film person gest olh conseg transmit pens sensac parabém estúdi anim,pixar desenho matar coração alma alertar poluição mundial desrespeito natureza outro diferencial filme personagem gesto olhar conseguir transmitir pensar sensacional parabéns estúdios animação
Camilla M.,4.0,"A Disney me surpreendeu. Achei o filme diferente por: ter um protagonista robô (tá certo não é a primeira vez mas é raridade), eles quase não falam, uma história diferente do que a Diney costuma apresentar. Ou seja é um filme lindo, fofo e tal mas ainda assim não me chamou tanta atenção.",253.0,677.0,disney surpreendeu achei filme diferente protagonista robô tá certo raridade quase falam história diferente diney costuma apresentar seja filme lindo fofo chamou atenção,disney surpreend ach film difer protagon robô tá cert raridad quas fal histór difer diney costum apresent sej film lind fof cham atenç,disney surpreender achei filme diferente protagonista robô tar certo raridade quase falar história diferente diney costumar apresentar ser filme lir fofo chamar atenção
Alan David,4.0,"Bonito e bem animado, apesar que eu esperava me surpreender mais, o filme é bem legal mesmo assim.",685.0,17096.0,bonito animado apesar esperava surpreender filme legal,bonit anim apes esper surpreend film legal,bonito animar apesar esperar surpreender filme legal
Gi C.,5.0,"Uma história emocionante, e com uma moral incrível. É de fazer chorar. Recomendo!",51.0,16.0,história emocionante moral incrível chorar recomendo,histór emocion moral incr chor recom,história emocionante moral incrível chorar recomendo
Thales L.,5.0,Mais um trabalho excelente da Pixar!!! Um filme tocante e divertido. Recomendo.,27.0,11.0,trabalho excelente pixar filme tocante divertido recomendo,trabalh excel pix film toc divert recom,trabalho excelente pixar filme tocante divertir recomer
Steven King - Spielberg,5.0,Simplesmente espetacular!!! O Wall-E tem os olhos mais expressivos desda época de dumbo! Nos primeiros 5 minutos ele te deixa apaixonado por uma barata!! Você fica com pena dele por qualquer coisa triste que acontece com ele!! Wall-E é simplesmente espetacular!! Pixar foi melhor animação de todos os tempos depois de Rei Leão e Divertida Mente!,25.0,7.0,simplesmente espetacular wall-e olhos expressivos desda época dumbo primeiros 5 minutos deixa apaixonado barata fica pena dele triste acontece wall-e simplesmente espetacular pixar melhor animação tempos rei leão divertida mente,simples espetacul wall- olh express desd époc dumb prim 5 minut deix apaixon barat fic pen del trist acontec wall- simples espetacul pix melhor anim temp rei leã divert ment,simplesmente espetacular wall-e olho expressivo desda época dumbo primeiros 5 minuto deixar apaixonar barato ficar pena de ele triste acontecer wall-e simplesmente espetacular pixar bom animação tempo rei leão divertido mente
Lukas Henrier,5.0,"Emocionante.Uma das melhores animações da pixar.Otimo mesmo,em todos os aspectos.Roteiro,enredo,trilha,musica,imagens,é impressionante.",163.0,144.0,emocionante melhores animações pixar otimo aspectos roteiro enredo trilha musica imagens impressionante,emocion melhor anim pix otim aspect rot enred trilh music imag impression,emocionante bom animação pixar otimo aspecto roteiro enredo trilha musica imagem impressionante
Matheus,5.0,"...eu acho esse filme fabuloso, não tem muita emoção porque os protagonistas são robôs (se voce não percebeu), mas msm assim tem compaixão pra salvar o planeta.",129.0,79.0,... acho filme fabuloso muita emoção protagonistas robôs voce percebeu msm compaixão pra salvar planeta,... ach film fabul muit emoç protagon robô voc perceb msm compaix pra salv planet,... achar filme fabuloso muito emoção protagonisto robô voce perceber msm compaixão pra salvar planeta
Yuri,4.5,Ótimo filme de animação com uma história muito bem elaborada e engraçada. Vale muito a pena assistir.,475.0,63.0,ótimo filme animação história elaborada engraçada vale pena assistir,ótim film anim histór elabor engraç val pen assist,bom filme animação histório elaborar engraçado valer pena assistir
J.Marques,5.0,"Excelente roteiro, personagens muito bem trabalhadas e com uma boa dose de humor.Se animação deve agradar a baixinhos e altinhos, Hotel Transilvânia cumpriu bem essa missão.O filme uniu o clássico com o novo e até mesmo com o universo adolescente.Quem não gosta de um filme assim né?Recomendo a todos que apreciam a um bom e inteligente filme.",13.0,11.0,excelente roteiro personagens trabalhadas dose humor animação agradar baixinhos altinhos hotel transilvânia cumpriu missão filme uniu clássico universo adolescente gosta filme né?recomendo apreciam inteligente filme,excel rot person trabalh dos hum anim agrad baix alt hotel transilvân cumpr miss film uniu cláss univers adolesc gost film né?recom aprec intelig film,excelente roteiro personagem trabalhar dose humor animação agradar baixinho altinho hotel transilvânio cumprir missão filme uniu clássico universo adolescente gostar filme né?recomer apreciam inteligente filme
