nome_filme,autor_comentario,nota_comentario,conteudo_comentario
Megamente,Álvaro José S.,3.5,É um filme sobre assumir responsabilidades e sobre ter uma escolha na vida. Muito  bom!
Megamente,Mary M,3.5,"Megamente é uma boa animação, com uma história envolvente e personagens bem construídos. Não é uma das minhas favoritas, porém, cumpre bem seu papel e admito que foi uma das melhores lançadas nos últimos anos. Ela serve tanto para adultos quanto para crianças, o que é incrível. Recomendo que assista!"
Megamente,apenasumr,0.5,"O Filme não traz muitas coisas novas,A Historia é o vilão derrota o heroi e se arrepende proto,O Filme todo é este,Fraco."
Megamente,Lucas M,2.5,"uma animação interessante, lembra bem os incríveis!"
Megamente,Luz do Amanhã,4.5,"Ótimo filme,não ha nada de errado nele,muito bom,esse filme é bom dos pés a Cabeça ou cabeção se preferir."
Megamente,Luis R.,4.5,"Ótimo!!!Faz uma sátira a Superman de maneira criativa e divertida,a trilha sonora é excelente!!!!!!!!"
Megamente,Neto S.,4.0,"Megamente e Um Filme Super Divertido Com Uma Boa Animaçao Com Historia de Tudo o que vilão Megamente (Will Ferrell) mais queria era eliminar seu adversário Metro Man (Brad Pitt/Thiago Lacerda) e assim dominar a cidade de Metro City. Só que para isso era necessário um plano ainda mais diabólico do que todos já tentados anteriormente. Um dia, com a ajuda de Criado (David Cross) e após sequestrar a repórter Rosane Rocha (Tina Fey), o malvado consegue o inimaginável, para ele e para todos: dar um sumiço no herói. A única coisa que ele não contava era que sua vida se tornaria tão chata a ponto de ele inventar um herói para combater. Nota 9.0"
Megamente,Estevan Magno,3.0,"Não tem nada de diferente uma animação com vilões e super herois, mas com vilões que se tornam super herois e vice versa, e de novo vice versa, UFA... Muito boa a história que nada mais nos diz o que já sabemos.... Só existirá o bem se existir o mal."
Megamente,cinetenisverde,3.0,"Uma troca de papéis eficiente que faz repensar a dicotomia do bem contra o mal, ainda mais que hoje em dia, em que mais pessoas se livram das superstições antigas (religiões) que pregam essa dicotomia como algo inerente à existência, o filme transporta essa realidade para uma animação leve, mas que esconde algum drama mais complexo existencial."
Megamente,Victor N.,5.0,Uma das melhores e mais divertidas animações. Recomendo.
Megamente,Diego M.,5.0,"Este longa tem por base a tênue linha que diferencia o bem do mal, o qual, normalmente é bem distinguido nos filmes, vivenciados pelo protagonistas e o antagonistas. Todavia, com o desenrolar da história, nos vemos, por vezes, divididos por estes opostos. Como assim?Vamos lá, a trama narra a vida de dois personagens extraterrestres, Metro Man e Megamente. O primeiro, por ter a sorte de ser acolhido por uma família exemplar e dispor de poderes sobrenaturais (assemelhando-se ao Super Man), obteve com mais facilidade prestígio e boa índole, diferente do último, que por azar, foi amparado por detentos de um presídio e somando-se a isto, apresentava características físicas horrendas, como cor azulada, cabeça desproporcional, dentre outras, facilitando assim, uma personalidade obscura, triste e malévola.Prosseguindo com o enredo, desde criança, os dois travavam disputas diversas assíduas, onde o “protagonista” (Metro Man) sempre vencia com carisma e força, as inúmeras e incansáveis investidas inteligentes do “antagonista” (Megamente). Deste modo, anos se passaram e a fama era inevitável, transformando o primeiro em herói da cidade e o outro em vilão.Todavia, mesmo após derrota atrás de derrotas, Megamente não se deu por vencido, tendo como objetivo único de vida vencer Metro Man, o qual, finalmente, foi conquistado através de uma excelente estratégia “não esperada” pelo herói.A grande sacada desta super produção vem agora, pois com tal vitória almejada por anos e anos, Megamente se via sozinho e sem maiores pretensões de vida, uma vez que não havia mais um lastro vital para ele, ou seja não existia mais seu arquirrival. Com isso, sua vida tornou-se monótona, entediante e chata. Desta forma, em uma tentativa frustrada e desesperada, ele cria um novo herói pra cidade, baseando-se na ideia de que se encontrasse uma pessoa pura e boa, somada com os superpoderes de Metro Man, tal personagem teria os mesmos métodos e perspectivas, assim fornecendo mais uma vez a eterna luta do “bem” contra o “mal”, favorecendo-lhe novo ímpeto de vida.Porém, o plano não foi como esperado, transformando o “herói” em “vilão”, obrigando o lado “humano e bom” de Megamente a contra-atacar, nos fazendo se emocionar com sua história e sem notarmos, já estávamos do outro lado da torcida.Este intrigante jogo de sentimentos travados internamente pelo público, nos faz refletir sobre o real sentido do prévio julgamento, visto que geralmente “a primeira impressão é a que fica”. E de forma exemplar, o filme nos leva, inconscientemente, a analisar melhor os dois lados da moeda, servindo assim de uma linda moral, conquistando com esmero a nota 5 e recomendável, não só à plateia infantil, como também adulta.Observação: A título de curiosidade, tal linha cinematográfica se faz perceptível também em outros filmes, onde existe uma forte tendência a simpatia para com os anti-heróis. Este vínculo é notável não só em desenhos (Meu Malvado Favorito 1 e 2), mas também em tramas mais maduras como Os Mercenários 1 e 2."
Megamente,Jesulei Dias D.,5.0,muito legal melhor animação de super herois e muito bom
Megamente,Um visitante,4.5,"-Não chega a ser uma das melhores animações,mais é claro que foi super bem produzida,e com personagens e um tema bastante diferente das outras animações que costumamos ver por aí.-Muito engraçado ao ponto de não querer que acabe mais.-Pra quem quer ver uma grande animação,assista Megamente.-Assista também (Rio)..."
Megamente,wesleyaxe,5.0,"Com certeza uma ótima animação, tem uma estória envolvente e divertidíssima, além de ser bem criativa, foge do esperado e passa uma boa mensagem, uma animação inspiradora! Gostei muito."
Megamente,Sidney,4.0,Muito bom. Uma ótima animação. Megamente é mega divertido. Adorei!
Megamente,Fabrizio,3.5,"Eu gosto de todas as animações em geral, porque elas resgatam os bons momentos da infância e divertem crianças e adultos, sendo assim, tenho que dizer que adorei megamente, que além de tudo é muito bem feito, e mostra a antítese de um herói e ainda cumpre o objetivo de fazer com que você se identifique com ele mesmo quando ele ainda está do lado do mal..."
Megamente,Wellingta M,5.0,"Adoroooooooooooooooo esse filme. Meu filho virou fã que tive que comprar pra ele. Muito bom, explorando bem os clichês, com trilhasonora perfeita e um herói-vilão irresístivel.Não sei por que não concorreu ao Oscar, merecia uma indicação."
Megamente,Otávio,4.0,"É ótimo o filme adorei, pois fazia tempo que não me divertia...adorei...muitos risos."
O Orfanato,Marcos M.,5.0,"Como pode um filme de suspense/terror se tornar um drama cheio de emoção? O Orfanato é uma grata surpresa do cinema espanhol produzido pelo astro Benício del Toro e tendo no elenco o mexicano Edgar Vivaz ( o seu Barriga do Chaves) o filme serve para contrapor-se aos que acreditam que os norte-americanos é que fazem os mellhores suspenses.O roteiro se torna um pouco confuso, no principio, mas aos poucos os fatos vão se encaixando e a luta de uma mãe em busca de seu filho desaparecido se torna cheia de surpresas e s tomadas me lembram o ótimo Os Outros e o aclamadíssimo O Iluminado, uma casa antiga assombrada e assustadora a cada cô emocionante digno para reflexões sobre a solidão e o amor maternal, mesmo se tratando de adoções.O Orfanato são daqueles filmes que nos dão medo, mas também nos deixam lições."
O Orfanato,Barbara B.,2.0,"Tudo bem: filmes fantásticos não precisam ser verossímeis. Mas é preciso que tenham uma trama bem amarrada, o que não acontece no filme. A cena do marido fazendo respiração boca a boca chega a ser cômica. Fraco."
O Orfanato,MaH  S.,4.5,"inicialmente ele pode parecer mais um filme batido de assombrações,mas o desenrolar da história é feito de uma forma totalmente inesperada e o final é surpreendente! não é um filme pra dar medo ou sustos, ele tem o seu suspense, mas o seu maior destaque é sem duvidas o enredo, muito bom!"
O Orfanato,Um visitante,2.5,"-Não posso falar nada sobre esse filme além de muito manjado.Filmes nesse gênero estão tomando de conta do cinema,exemplos são;A Mulher De Preto,A Entidade,O Despertar...Esses são só alguns exemplos de fidelidade a esse filme.O filme consegue manter sua atenção pelo menos até sua metade,depois disso só blá,blá,blá.-Não é uma grande história,nossa amiga até ressaltou que chorou ao término do filme...????Sem explicação,será se foi de raiva?Bem meia boca.-Assista...(*Regular)!"
O Orfanato,Vinipassos,2.0,"Fui assistir esse filme na maior expectativa de um suspense aterrorizante, me decepcionei profundamente. O roteiro do filme é fraco e muito parado, sem sal. Não dá sustos, não dá medo, não dá nada, é muito sem sal. A trama não cresce, fica apenas em diálogos, que na verdade não são ruins, mas um filme desse tipo precisa de tensão, e é isso que não tem, msm tendo aquela casa teoricamente sombria.E o final, o primeiro até foi aceitável e realmente eu já havia pensado naquela possibilidade desde o inicio do filme, mas o final não é aquele, é outro 1000 vezes pior, que fecha com chave de latão esse filme terrivelmente decepcionante."
O Orfanato,Rodrigo o que?,3.5,Mesmo não tendo nenhuma música sinistra e nem sangue saindo pra todo lado o filme consegue te deixar tenso pelo suspense ser bem construído e trabalhadoE o melhor de tudo...Sem jumpscare(sustos baratos)
O Orfanato,Filipe,2.5,eh EXCELENTE. mto bom msm. totalmente assustador. o filme dah mto medo no espectador e ao mesmo tempo todo akele misterio prende ele ateh o final e a revalação da trama no final eh totalmente surpreendente. eh akela coisa q vc nunca imaginaria. vale a pena. extremamente assustador e surpreendente.
O Orfanato,listhais,2.5,"...Esperava mais da história. Mostrou-se básica e sem conteúdo, geralmente se espera um grande mistério por trás dos acontecimentos, e assim foi, mas talvez, esperássemos mais do desenrolar do enredo. Contudo, a grande atuação de Belén Rueda e todo o elenco salvou o filme."
O Orfanato,David A.,5.0,História impecável! Sem apelação ao medo. Tudo muito bem dosado. Possui um suspense perfeito que te assusta e te aterroriza enquanto faz você prestar atenção ainda mais na história. Um orgasmo para que ama o gênero! Um filme de suspense que te faz chorar... Lindo e mais lindo.
O Orfanato,Andressa P.,5.0,"Não sei o que falar, ou por onde começar... Esse filme é uma obra prima. Não entendo porque demorei tanto para assistir. Quem critica um filme como esse, não merece o meu respeito rs"
O Orfanato,Daniel Novaes,5.0,"Drama, suspense e um pouquinho de terror... mas que obra grande, acima de tudo uma obra de amor. Muito recomendado."
O Orfanato,Vitor Araujo,3.5,"Uma moça, seu marido e filho vão morar no antigo orfanato onde ela vivia. Segredos antigos e assustadores tomam conta da casa. Um filme novelesco, bem contado, com boa atmosfera e atiça nossa curiosidade. Gostei. Batatinha frita 123 já estava na moda e a gente não sabia."
O Orfanato,Luis R.,4.5,Ótimo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
O Orfanato,Carlos Henrique S.,3.0,"Sabe quando você assiste um filme com uma certa expectativa e acaba desapontado,pois bem essa é a minha reação depois de assistir a o orfanato filme espanhol de 2008 dirigido pelo bom diretor Juan Antonio Bayona que lançou esse aclamado filme de terror que inclusive concorreu ao Oscar de melhor filme estrangeiro naquele ano mas o filme não é só rosas como a crítica aclamou.Inicialmente o filme é muito interessante e o roteiro é bem encaixado nas questões que o rodeiam  como a questão do garoto Simón e sua mãe Laura ,mas quando acontece o ponto de virada que carregará o filme ai desanda pois ele não consegue prender o espectador e por consequência se mostra desinteressante.O ttrabalho do diretor é bom,ele tem um jogo de câmera interessante que sabe usar os ângulos da casa e os efeitos especiais ajudam com um clima bem chuvoso além da fotografia competente que junto tudo isso poderia render algo bem mais atrativo que é mal usado pelo roteiro e até as atuações deixam um pouco a desejar.Outro problema que me incomodou foi a falta de sustos que eram prometidos e não foram cumpridos.Infelizmente é um filme que deixa a desejar."
O Orfanato,Hugo Fonseca,5.0,"Filme 100% suspense, te prende do início ao fim, a cada minuto a revelações que faz vc quebrar a cabeça,  recomendo d+++++++"
O Orfanato,Ronaldo B.,3.0,"Não consigo compreender o que o AdoroCinema viu de tão bom nesse filme. Porra 5 estrelas é demais, o filme é legal, o roteiro é bem escrito, o filme não chega a ser suspense, é um drama com fantasia, nada demais, bem parecido com o filme ""O Despertar""."
O Orfanato,LuanGuilherme91,3.0,"A historia do filme é até diferente e aprovável, mas eu não me prendi nela, é muito entendiante, se tratando de um filme de terror que não tem uma cena sequer de suspense, susto, medo, deixando muito a desejar, o filme se baseia apenas em um menino que foi levado por ""amigos imaginários"", e a mãe fica a procura dele praticamente todo o filmeFaltou cenas de ação, faltou sustos, faltou clima de terror, não recomendo"
O Orfanato,Janaine P.,3.5,"é um bom suspense, com um final agradável, vale a pena assistir :)"
O Orfanato,Aline E.,5.0,"Não é mais um filme de terror clichê, uma boa história que vale a pena assistir"
O Orfanato,Wiris Siqueira,5.0,"Filme incrível! Muito bem feito... trilha, fotografia, roteiro são perfeitos! Suspense do começo ao fim e um final lindo!! Recomendo muito!!!"
Zona Verde,Sidney  M.,3.5,"Em mais um trabalho juntos, Matt Damos e Paul Greengrass rendem mais um bom filme. Talvez não seja brilhante como Bourne, mais ainda assim o resultado é satisfatório. Bom filme sobre a guerra no Iraque, envolvendo as falcatruas do EUA."
Zona Verde,Artur V.,3.0,"Trata-se de um filme que mostra os interesses dos Estados Unidos ao Iraque, escancarando a verdade. Mas, na minha opinião, o filme, em todos os quesitos, não é ótimo. Apesar das duas horas de filme, a “correria” que se emprega atrapalha a assimilação da história e a criação de um vínculo com o personagem principal."
Zona Verde,Miguel Neto,4.5,"Ótimo filme, um choque de realidade. Já sabíamos que a mídia era manipulada na época para unificar a opinião pública sobre a invasão do Iraque, isso foi ótimo para o Presidente Bush que tinha sua popularidade muito baixa. Essa ação foi proposital, já se sabia de antemão que o Iraque não tinha armas de destruição em massa, mas mesmo assim, milhares de iraquianos e centenas de americanos foram mortos para manter a popularidade do Presidente Bush.O filme mostra bem esse intrincado jogo as forças envolvidas, a mídia, a política e os militares, pouco se pensa no povo iraquiano que é massacrado como formiga.Os efeitos especiais, a iluminação e o som nos coloca no meio de toda tensão existente. É angustiante ver civis dentro de suas casas, as vielas escuras e claustrofóbicas, guerrilheiros, soldados iraquianos e americanos por todos os lados.O filme é bem feito e uma aula da história recente,"
Zona Verde,Roberto Carlos M.,4.0,"assisti no cine maior na tv record, muito bom mesmo, história bem dirigida, atuações convincentes, cenas de ação bem legais, dublagem nota dez."
Zona Verde,Vilmar O.,3.5,"Bom filme que lança uma bela crítica ao motivo da 2ª invasão do Iraque pelos EUA para “achar as armas de destruição em massa”, as quais nunca foram achadas, mas “ajudou” aos EUA aumentarem ainda mais o déficit fiscal deles.Com Matt Damon no elenco."
Zona Verde,wesleyaxe,4.5,"Adorei o filme, muito bem dirigido, sem perder ritmo em momento nenhum, mostra como a guerra é financiada por um jogo de interesses políticos. Matt Damon se supera a cada filme... muito bom!!"
Zona Verde,Sidney,4.5,"A saga Bourne consagrou esse grande ator que é o Matt Damon. O filme mostra uma estória ja conhecida, mas que foi muito bem elaborada e executada, o roteiro fala por si. A atuação Roy Miller (Matt Damon) foi muito boa. Vale apena conferir.RECOMENDO!"
Zona Verde,Um visitante,3.5,"-O mais verdadeiro trabalho que eu já vi sobre essa história.-E.U.A contra IRAQUE,tudo real  demais,magnífica história conduzida pelo diretor,e principalmente pelo MATT DAMON.Com certeza mais um grande trabalho desses dois.-Mais um filme de guerra que entra pra história do cinema.-ASSISTA....."
Zona Verde,Pamela,2.5,"Um ótimo filme, bem feitinho. Um roteiro bem original. Matt Damon está cada vez melhor. Nota 10"
Zona Verde,Edson Ribeiro,3.5,Não é a toa que gastaram R$ 100 milhões. Ótimos efeitos especiais e história previsível.
Zona Verde,dalmofv,3.0,"...Bom filme, nada de sensacional, mas muita ação e bom roteiro. Matt Damon como sempre muito bem. O que me chamou atenção, talvez nem todos saibam, pois vi o filme em dvd e vi os bónus, o Matt Damon contracenou com soldados de verdade dos USA, e os caras o só o elogiaram, claro que pegariam elogios p colocar lá, mas me pareceram ter gostado mesmo de ter trabalhado com ele. Não chega nem de perto na triologia bourne, mas é um bom filme."
Zona Verde,D_teo92,4.0,"Um filme excelente, embora tenha um final um pouco fraco. Mostra como uma ""Fake News"" ( principalmente as disseminadas pela grande imprensa) podem ser catastróficas."
Zona Verde,Daniel Castro,3.5,"Paul Greengrass repete não só a parceria com Matt Damon, mas o estilo ""Bourne"" de filmar, camera no ombro e correndo, seguindo os atores pra lá e pra cá, gosto muito disso. Ótima direção, sua camera trêmula faz tudo ficar mais tenso, realista, tbm graças ao bom roteiro e as memoráveis sequências de ação, nada exageradas. Não é um filme perfeito, achei meio cansativo, talvez por isso prefira ""Guerra ao Terror"", mas certamente merece ser visto."
Zona Verde,Rick Pinheiro,2.0,"Um ótimo filme, com roteiro envolvente e inteligente, e boas cenas de ação, como os dois últimos filmes da Trilogia Bourne, que tem o mesmo diretor e protagonista deste Zona Verde.O que deixa um pouco a desejar é a costumeira falta de interpretação do Matt Dammon, que é esforçado, mas ainda muito limitado.Para quem gosta de filmes de ação com roteiro Zona Verde é uma boa dica."
Zona Verde,Oliveira,2.5,Muito bom mesmo. História bem conduzida e o roteiro bem original.
Zona Verde,Fernando C.,4.0,"Um ótimo filme que mostra o interesse dos E.U.A no Iraque, muito bom os efeitos de ação e também é boa a história do filme. Mas é um filme, em que você não prestar atenção direito, você poderá ficar perdido.  É um filme legal. Recomendo."
Zona Verde,Digossa,2.5,"Um bom filme. E sem aquela historinha de sempre dos americanos bonzinhos (quer dizer, pelo menos em parte)."
Zona Verde,Fher B.,4.5,"Filme excelente, uma das melhores atuações de Matt Damon.Paul Greengrass faz com que você se sinta no meio a guerra,com certeza um dos melhores filmes que já assisti. Super recomendado."
Zona Verde,BrunoG,4.0,...Um filme bom na ação no roteiro nas atuações etc...mais deixa a desejar no final !!mais é um filme que faz vc parar para assistir !!
Zona Verde,Emerson,2.5,tdos Filmes com o ator Matt Damon sao bom o cara Sabe fazer filme de ação!
Ilha do Medo,Robertao,5.0,Um dos melhores suspenses do gênero psicológico que já vi. Toda a trama te prende e dá uma sensação de confusão ao se perguntar quem realmente é quem nessa história. O desfecho é excelente e a trilha sonora sinistra aliadas à fotografia cinzenta e ambiente misterioso tornam o filme um thriller impecável.
Ilha do Medo,Um visitante,4.5,"O filme consegue nos afundar num estado de paranóia e tensão tão grandes, que fica difícil diferenciarmos mocinhos e bandidos, ou realidade e ilusão.A atuação de Leonardo Dicaprio, esta novamente soberba, a loucura e desespero que ele consegue remeter aos expectadores são de uma verossimilhança sem precedentes (pelo menos em sua carreira.). E ainda nos brinda com um desfecho tocante e melancólico, onde Teddy Daniels entende que é melhor viver sua vida e morrer como um homem bom, do que ser Laedis e viver como um monstro. A ilha do medo é um daqueles filmes que nos deixam pensando sobre ele mesmo depois de muito tempo em que o assistimos.O panorama, o movimento de câmera e a fotografia na cena onde o pelotão de Dicaprio fuzila “acidentalmente” uma fila de prisioneiros alemães na segunda guerra são tão belos que já valiam um Oscar."
Ilha do Medo,Marcio A.,4.5,"Um exemplar irretocável de como montar um quebra-cabeça psicológico de forma magistral. Scorcese inspira-se no suspense psicológico e cria um caleidoscópio de recortes selecionados -  que parte de uma investigação... para no decorrer cronológico da trama, tecer uma travessia enigmática e sombria em busca de sentidos e respostas para as questões do protagonista interpretado por Di Caprio. O restante do elenco se encaixa muito bem nesta teia de mistérios e descobertas impressionantes que encabeçam a construção deste belíssimo roteiro. A trilha sonora realça o clima soturno que perpassa de forma envolvente não deixando espaço para respirar. A alma do filme também está no grande trabalho de edição que amplia a plasticidade artística e a articulação do ritmo de intenso suspense. Tudo é mostrado com muita competência, e esmero; e em paralelo com o limiar entre o surreal e o real, se concentra todo o epicentro de segredos que são perseguidos desde o início deste excelente filme. Uma relíquia para os fãs da Psicologia e da Psicopatologia. Sensacional!"
Ilha do Medo,Mr. Wayne,5.0,"Um dos melhores suspenses que já vi, quando você acha que está entendendo o que se passa, o filme vai lá e mostra que você pode não estar certo, o final algumas pessoas consideram interpretativo...SPOILEREle estava consciente de tudo que havia feito, mas preferiu fingir que recaiu e fazer a lobotomia, pois não suportava mais viver com seu passado."
Ilha do Medo,Janiê Maia C.,4.0,"A Ilha do Medo (Shutter Island) – 2010 - Mais um filme super noir de Martin Scorsese!!!Boa tarde galera! Tudo ok? Hoje vamos falar sobre um filme super legal, que vale a pena assistir! O pôster do filme faz uma bela chamada ao espectador! Shutter Island (br: Ilha do Medo) é um filme americano dirigido pelo brilhante Martin Scorsese, lançado em fevereiro de 2010 e protagonizado por Leonardo DiCaprio, Mark Ruffalo e Ben Kingsley. O filme é baseado no ótimo livro ""Paciente 67"" do consagrado autor Dennis Lehane (ele não é muito conhecido aqui no Brasil, mas vale apena conferir suas obras).	O enredo do filme se passa no ano de 1954; quando os detetives Edward Teddy Daniels (Leonardo DiCaprio) e Chuck Aule (Mark Ruffalo) são encaminhados para investigar o desaparecimento de um paciente no Hospital Psiquiátrico Shutter Island, os pacientes são lotados por número, e é justamente o paciente 67 que desaparece. O problema é que ninguém sabe quem é o paciente 67, somente um do internados no hospital é que deixa charadas para o detetive Edward encontrar este. O hospital fica localizado numa ilha bem distante, onde comunicação é quase impossível, justamente no dia em que chegam ao local, a ilha é acometida por um temporal, deixando a possibilidade de viajar para casa nula! A partir daí Chuck e Teddy descobrem que os médicos do local usam métodos considerados mais do que bárbaros para tratar de seus pacientes. Tudo isso sob a vigilância do misterioso diretor do hospital, Dr. John Crawley (Ben Kingsley). Se você já assistiu Lost, deve estar ciente de que nem tudo parece ser realidade! Já adiantei um pouco do must do filme, realidade alternativa! A partir daqui, nada mais posso adiantar, se não o suspense vai embora! Martin Scorsese é sempre brilhante, poderia ter utilizado o money para fazer mais um filme obra-prima como um Taxi Driver, mas não, preferiu dirigir um suspense classe B, mas com uma elegância bem típica a la Scorsese. Não vou explanar muito acerca da filmografia dele, porque é bem longa. As referências aos seus outros filmes não faltam! O filme inicia numa cena na neblina, Taxi Driver? Os dois detetives trajados como investigadores dos filmes noir, Os Infiltrados? E por aí vai... A direção deste na adaptação de um livro para o filme, não deixou a desejar. Ele fez bem certinho. Tanto o filme como livro são ótimos! Mais uma vez Scorsese se garantiu!A fotografia da película é um dos pontos altos, é de banhar os olhos! A ilha, o hospital, a floresta e até mesmo o mar são ambientados com um nuvem cinzenta. Você percebe a tensão, o medo, o suspense só no olhar!O elenco é grande, surgem muitos personagens no decorrer do filme! Mas quem rouba a cena é sem dúvida Leonardo DiCaprio, Mark Ruffalo e Ben Kingsley. Uma constelação de encher os olhos. DiCaprio cresceu muito nos últimos anos, sua interpretação do detetive depressivo, que guarda um segredo bem tenebroso é simplesmente grandiosa! É penoso o sofrimento deste, junte-se a isso aos intenso flashbacks que ele tem de sua falecida esposa. Tais lembranças enevoadas com um toque de terror e drama! A parceria com Scorsese é bem conhecida, e está dando certo desde sempre, há sintonia é visível entre o ator e diretor! Mark Ruffalo é aquele conhecido ator das comédias românticas, melhorava a cada filme. Para mim é uma das revelações dos últimos anos, sempre suas atuações são intensas, dignas de prêmios! Que pena que ainda não ganhou um Oscar, é merecido, seus trabalhos sempre recebem boas críticas. Ao interpretar um detetive que sempre mostra o caminho a Teddy, Mark expõe mais ainda a nostalgia ambientada no filme. O papel dele aqui é confundir quem assiste.Ben Kingsley, o eterno Mahatma Gandhi do cinema. É um daqueles atores que dão um toque especial numa produção cinematográfica. Ele sempre atua de maneira atenciosa, sua entrega aos personagens é soberba. Ben, assume o personagem médico, onde mescla mistério e perigo. Mais uma vez, genial. Creio que A Ilha do Medo não é uma obra-prima, daquelas para citar nas maravilhas da sétima arte. Porém Scorsese soube fazer seu trabalho de forma digna e magistral, o filme vale sim pela diversão. Uma diversão cult, inteligente e para quem quer conhecer as obras do diretor. É inteligente porque o filme faz uma alusão ao horror do nazismo, pacientes com a cabeça raspada, acomodados numas salas tenebrosas, parecidas com cavernas. A Ilha do Medo obteve críticas mistas, uns gostam outros não, sou do time dos que gostaram! Aprovei, é aquele filme para um sábado à noite, com pipoca, guaraná e os amigos. “O cais é o único caminho para entrar e o único para sair.”	Bjoosss! Até mais!	 Janiê Maia Cunha"
Ilha do Medo,raphaelssouza,3.5,"Leo sempre fazendo esses filmes cabeça, o filme tem uma pegada boa com o público e deixa um ar de quem tem razão no final e quanto nosso cérebro é perigoso, as cenas dos ratos é sinistra e como  e a cena dele com a mulher e caindo neve preta é linda como se fosse um quadro. #VaiPraEstante"
Ilha do Medo,João Paulo S.,4.5,"Um ótimo filme, recomendo. Durante todo filme você fica intrigado e vai vendo que existem mistérios na trama (
spoiler: 
principalmente com a revelação final
). Ação, suspense, dúvidas, tudo isso você vai ver nesse outro grande filme de Martin Scorsese e grande elenco."
Ilha do Medo,Ricardo L.,5.0,"Obra primorosa! Um dos melhores filmes no gênero Psicológico já produzido, perfeito em quase todos quesitos, atuações formidáveis de SR; Ben Kingsley, Mark Ruffalo e Max Von Saidow, mas destaque maior para Leonardo de Caprio que está incrível em uma de suas melhores atuações, Roteiro é perfeito, trilha sonora é estupenda, fotografia é de impressionar, não dar pra entender como esse filme não concorreu a nenhum óscar, na minha visão merecia no minimo 14 indicações e 4 prêmios, mas...."
Ilha do Medo,Fabiano O.,5.0,"O que um gênio do cinema como Martin Scorsese e um grande elenco podem fazer quando se trata em produzir um filme com base no suspense psicológico? Só coisa boa!É isso que foi feito em Ilha do Medo, onde mais uma vez Leonardo DiCaprio assume o papel principal em uma trama de Scorsese como Teddy Daniels, um delegado federal que junto com Chuck Aule, interpretado por Mark Ruffalo, vão até uma ilha que tem um hospital psiquiatrico para criminalmente insanos investigar o desaparecimento de uma paciente chamada Rachel Solando, uma mulher que afogou seus próprios filhos e por isso tinha ido para lá. Após encontrarem com o Dr. John Crowley, eles passam a conhecer os mistérios da ilha e quando acham a suposta Rachel, um furacão passa pela ilha, acabando com os sistemas de segurança o que ocasiona a fuga de vários prisioneiros dos pavilhões. Teddy então começa a confrontar-se com alucinações de sua esposa morta e também dos fantasmas do passado após presenciar muita morte na segunda guerra, e também de que o assassino dela está preso naquela ilha, além de encontrar o prisioneiro que o havia informado que a ilha fazia experimentos ilegais nos prisioneiros. Com toda a desconfiança que fica sobre estar sendo caçado pelos que controlam a ilha, Teddy fica uma noite em uma caverna onde encontra o que seria a verdadeira Rachel, que revela pra ele que a ilha é uma instituição que transforma em perigosos quem se opõe a seus métodos e por isso tenta prende-los na ilha e diz que se o pegarem irão fazer com que ele acredite que seja um paciente da ilha e que tudo era uma ilusão. Após encontrar o Dr. Crowley, o mesmo diz que a Teddy sua mulher morreu assassinada por ele mesmo depois de ela ter assassinado seus filhos (que ele alegava não ter nenhum) e que ele era paciente da ilha, e que seu nome era Andrew e que tudo era uma ilusão para convencer ele de que ele era um paciente perigoso, ja fazendo o telespectador interpretar o que seria a realidade e o que seria ilusão.Brilhantemente feito para ""bugar"" o cérebro de qualquer um e gerar as suas próprias interpretações. Atuação excelente de DiCaprio, deixando ainda mais de ser um rostinho bonito a ser um grande ator, e ótimas de Mark Ruffalo e Ben Kingsley como o Dr. Crawley. Scorsese outra fez dirige e produz com perfeição, confundindo com maestria a mente de quem o assiste, unindo realidade com ilusão, ultrapassando as barreiras do que seria mais racional. Muitos não gostaram exatamente por isso, mas nem todo mundo é perfeito, e combinada com excelente trilha sonora e fotografia como um dos melhores filmes do gênero."
Ilha do Medo,Talita Lopes,5.0,Grande filme! A trama te prende do início ao fim. Com certeza assistirei novamente.
Ilha do Medo,Luana O.,5.0,"Assistindo esse filme pela segunda vez, que filmaço!! Di Caprio excelente na atuação, fotografia perfeita, e ótimo roteiro. Muito sombrio e misterioso, um ótimo filme."
Ilha do Medo,Maria,5.0,"“Viver como um monstro (Andrew Laeddis) ou morrer como um homem bom (Teddy Daniels)?”* No final, vemos que o experimento do psiquiatra (Dr. John Crawley), com a ajuda do psicólogo (Dr. Lester Sheehan) deu certo.** Andrew Laeddis (Leonardo DiCaprio) foi curado, mas finge que não, insistindo na ilusão de ser Teddy Daniels.*** Andrew Laeddis não precisaria mais fazer a lobotomia do Dr. Jeremiah Naehring. Mas, faz com que o Dr. Jeremiah Naehring ache que está certo, e que os métodos mais humanos, e não invasivos, do Dr. John Crawley, não funcionaram para ele. **** “Sanidade não é uma escolha”, como disse o Dr. John Crawley.***** Com isso, Andrew Laeddis ESCOLHE a insanidade (fingindo ser Teddy Daniels), indo voluntariamente para a lobotomia, porque não suportaria viver com a culpa da morte da família; preferindo ao final abrir mão da sua real consciência para sempre."
Ilha do Medo,Thomas Jefferson,4.5,"Deslumbrante e assustando, envolvente e tentador. Um trilha sonora tensa e envolvente."
