nome_filme,autor_comentario,nota_comentario,conteudo_comentario,criticas_autor,seguidores_autor
Megamente,Milayne Costa,4.0,"o verdadeiro significado de ""só deus sabe como tá a mente do vilão"" muito bom e engraçado adoro o humor da DreamWorks",46.0,2.0
Megamente,Tá no Arts,3.0,"Legalzinho, prende a atenção, as crianças gostam, a gente adulto consegue assistir. Não é ruim, dá para assistir.",19.0,3.0
Megamente,Megamente,5.0,I AM THE BEST!!!,26.0,3.0
Megamente,Roberto J.,4.5,"Eu lembro de mim, com 5 aninhos assistindo essa animação criativa! Uma animação genial sobre um gênio e seu amigo que é um peixe em corpo de robô! Como isso não é criativo? Além de criativo, é muito engraçado e agrada a qualquer um! Mega-Mente? Eu já vi esse filme mega mega vezes! Hahahaha, melhor animação depois de rei leão. Um filme que marcou minha vida! <3",12.0,2.0
Megamente,minezindoscria3666soudodemonio!!!,5.0,"acheu muitu foda serioa parte gue eele at muito giganmtegrande com acabeca assul o eroi tenta paar elee e ele corre muito foda essa parte serio gys asistan con seus fihlos OOH MAI GOOD ( o meu deus em portuges ) gordo obeso s2
spoiler: 

com amor e dedo no anus:
spoiler: 

CHUPACUDEGOIANIAAUUUUUUSOUUMLOBOHAHAHAHAHAHAHAHASOULOQUINHOTIPOOCORINGAEESQUISITOESQUISOFRENICODEMENTEEPENIS
spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler: 


spoiler:",1.0,
Megamente,Fábio C.,5.0,"Uma deliciosa e prazerosa luta do bem contra o mal, inspirada na pergunta ""o que aconteceria se Lex Luthor derrotasse o Superman?, onde somos levados a torcer e rir bastante com o anti-herói Megamente, um extraterrestre de cabeção azul. Numa acirrada rivalidade com o héroi Metroman, desde seu nascimento, Megamente é uma figura engraçadissíma que coleciona inúmeras derrotas e fracassos ao longo da vida. Quando finalmente vence o moçinho (isso mesmo, o mal vence o bem! Genial!), se vê entediado e passa a buscar um novo sentido para sua vida. E é agora que a história fica interessante.Transmitindo uma mensagem importantíssima para criaças e adultos, o filme garante bons momentos cômicos e um desfecho engraçadíssimo e surpreendente.",11.0,1.0
Megamente,Regedim R.,5.0,esse filme e maravilhoso vale muito a pena assistir e simplesmente d+ e um filme que reune a família ao mesmo tempo engraçado e emocionante,2.0,2.0
Megamente,Marcos d.,4.0,"Como todo filme de animação tem que ter uma história mostrando o passado do personagem no início do filme,e essa parte foi muito boa,o filme depois começa a ficar um pouco mais decadente mais o final conseguiu fazer eu dar 4!Dublagem boa com bons atores,história bacana e ao som de Michael Jackson!!!",9.0,
Megamente,Phelipe Martins,5.0,"A genialidade desse filme é incrível, foge do esperado, mostra outro lado de todos os personagens, pega uma história clichê e transforma em uma reflexão, a evolução dos personagens são incríveis, a história se desenvolve perfeitamente e lógico, um humor maravilhoso que caracteriza o filme e sou capaz de dizer que é uma das melhores animações já produzidas!",6.0,
Megamente,marcos camilo,4.5,excelente animação com momento cômicos. megamente e o vilao mais adorado q ja vi. otmo divertimento e sem falar q o criado e mt engraçado!!!,3.0,1.0
O Orfanato,Marcos M.,5.0,"Como pode um filme de suspense/terror se tornar um drama cheio de emoção? O Orfanato é uma grata surpresa do cinema espanhol produzido pelo astro Benício del Toro e tendo no elenco o mexicano Edgar Vivaz ( o seu Barriga do Chaves) o filme serve para contrapor-se aos que acreditam que os norte-americanos é que fazem os mellhores suspenses.O roteiro se torna um pouco confuso, no principio, mas aos poucos os fatos vão se encaixando e a luta de uma mãe em busca de seu filho desaparecido se torna cheia de surpresas e s tomadas me lembram o ótimo Os Outros e o aclamadíssimo O Iluminado, uma casa antiga assombrada e assustadora a cada cô emocionante digno para reflexões sobre a solidão e o amor maternal, mesmo se tratando de adoções.O Orfanato são daqueles filmes que nos dão medo, mas também nos deixam lições.",9.0,9.0
O Orfanato,Barbara B.,2.0,"Tudo bem: filmes fantásticos não precisam ser verossímeis. Mas é preciso que tenham uma trama bem amarrada, o que não acontece no filme. A cena do marido fazendo respiração boca a boca chega a ser cômica. Fraco.",2.0,
O Orfanato,MaH  S.,4.5,"inicialmente ele pode parecer mais um filme batido de assombrações,mas o desenrolar da história é feito de uma forma totalmente inesperada e o final é surpreendente! não é um filme pra dar medo ou sustos, ele tem o seu suspense, mas o seu maior destaque é sem duvidas o enredo, muito bom!",25.0,5.0
O Orfanato,Um visitante,2.5,"-Não posso falar nada sobre esse filme além de muito manjado.Filmes nesse gênero estão tomando de conta do cinema,exemplos são;A Mulher De Preto,A Entidade,O Despertar...Esses são só alguns exemplos de fidelidade a esse filme.O filme consegue manter sua atenção pelo menos até sua metade,depois disso só blá,blá,blá.-Não é uma grande história,nossa amiga até ressaltou que chorou ao término do filme...????Sem explicação,será se foi de raiva?Bem meia boca.-Assista...(*Regular)!",,
O Orfanato,Vinipassos,2.0,"Fui assistir esse filme na maior expectativa de um suspense aterrorizante, me decepcionei profundamente. O roteiro do filme é fraco e muito parado, sem sal. Não dá sustos, não dá medo, não dá nada, é muito sem sal. A trama não cresce, fica apenas em diálogos, que na verdade não são ruins, mas um filme desse tipo precisa de tensão, e é isso que não tem, msm tendo aquela casa teoricamente sombria.E o final, o primeiro até foi aceitável e realmente eu já havia pensado naquela possibilidade desde o inicio do filme, mas o final não é aquele, é outro 1000 vezes pior, que fecha com chave de latão esse filme terrivelmente decepcionante.",178.0,255.0
O Orfanato,Rodrigo o que?,3.5,Mesmo não tendo nenhuma música sinistra e nem sangue saindo pra todo lado o filme consegue te deixar tenso pelo suspense ser bem construído e trabalhadoE o melhor de tudo...Sem jumpscare(sustos baratos),211.0,114.0
O Orfanato,Filipe,2.5,eh EXCELENTE. mto bom msm. totalmente assustador. o filme dah mto medo no espectador e ao mesmo tempo todo akele misterio prende ele ateh o final e a revalação da trama no final eh totalmente surpreendente. eh akela coisa q vc nunca imaginaria. vale a pena. extremamente assustador e surpreendente.,180.0,216.0
O Orfanato,listhais,2.5,"...Esperava mais da história. Mostrou-se básica e sem conteúdo, geralmente se espera um grande mistério por trás dos acontecimentos, e assim foi, mas talvez, esperássemos mais do desenrolar do enredo. Contudo, a grande atuação de Belén Rueda e todo o elenco salvou o filme.",2.0,
O Orfanato,David A.,5.0,História impecável! Sem apelação ao medo. Tudo muito bem dosado. Possui um suspense perfeito que te assusta e te aterroriza enquanto faz você prestar atenção ainda mais na história. Um orgasmo para que ama o gênero! Um filme de suspense que te faz chorar... Lindo e mais lindo.,2.0,
O Orfanato,Andressa P.,5.0,"Não sei o que falar, ou por onde começar... Esse filme é uma obra prima. Não entendo porque demorei tanto para assistir. Quem critica um filme como esse, não merece o meu respeito rs",4.0,3.0
O Orfanato,Daniel Novaes,5.0,"Drama, suspense e um pouquinho de terror... mas que obra grande, acima de tudo uma obra de amor. Muito recomendado.",849.0,7683.0
O Orfanato,Vitor Araujo,3.5,"Uma moça, seu marido e filho vão morar no antigo orfanato onde ela vivia. Segredos antigos e assustadores tomam conta da casa. Um filme novelesco, bem contado, com boa atmosfera e atiça nossa curiosidade. Gostei. Batatinha frita 123 já estava na moda e a gente não sabia.",618.0,3844.0
O Orfanato,Luis R.,4.5,Ótimo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,759.0,23868.0
O Orfanato,Carlos Henrique S.,3.0,"Sabe quando você assiste um filme com uma certa expectativa e acaba desapontado,pois bem essa é a minha reação depois de assistir a o orfanato filme espanhol de 2008 dirigido pelo bom diretor Juan Antonio Bayona que lançou esse aclamado filme de terror que inclusive concorreu ao Oscar de melhor filme estrangeiro naquele ano mas o filme não é só rosas como a crítica aclamou.Inicialmente o filme é muito interessante e o roteiro é bem encaixado nas questões que o rodeiam  como a questão do garoto Simón e sua mãe Laura ,mas quando acontece o ponto de virada que carregará o filme ai desanda pois ele não consegue prender o espectador e por consequência se mostra desinteressante.O ttrabalho do diretor é bom,ele tem um jogo de câmera interessante que sabe usar os ângulos da casa e os efeitos especiais ajudam com um clima bem chuvoso além da fotografia competente que junto tudo isso poderia render algo bem mais atrativo que é mal usado pelo roteiro e até as atuações deixam um pouco a desejar.Outro problema que me incomodou foi a falta de sustos que eram prometidos e não foram cumpridos.Infelizmente é um filme que deixa a desejar.",809.0,13657.0
O Orfanato,Hugo Fonseca,5.0,"Filme 100% suspense, te prende do início ao fim, a cada minuto a revelações que faz vc quebrar a cabeça,  recomendo d+++++++",52.0,23.0
O Orfanato,Ronaldo B.,3.0,"Não consigo compreender o que o AdoroCinema viu de tão bom nesse filme. Porra 5 estrelas é demais, o filme é legal, o roteiro é bem escrito, o filme não chega a ser suspense, é um drama com fantasia, nada demais, bem parecido com o filme ""O Despertar"".",232.0,451.0
O Orfanato,LuanGuilherme91,3.0,"A historia do filme é até diferente e aprovável, mas eu não me prendi nela, é muito entendiante, se tratando de um filme de terror que não tem uma cena sequer de suspense, susto, medo, deixando muito a desejar, o filme se baseia apenas em um menino que foi levado por ""amigos imaginários"", e a mãe fica a procura dele praticamente todo o filmeFaltou cenas de ação, faltou sustos, faltou clima de terror, não recomendo",90.0,40.0
O Orfanato,Janaine P.,3.5,"é um bom suspense, com um final agradável, vale a pena assistir :)",17.0,15.0
O Orfanato,Aline E.,5.0,"Não é mais um filme de terror clichê, uma boa história que vale a pena assistir",5.0,13.0
O Orfanato,Wiris Siqueira,5.0,"Filme incrível! Muito bem feito... trilha, fotografia, roteiro são perfeitos! Suspense do começo ao fim e um final lindo!! Recomendo muito!!!",46.0,21.0
O Orfanato,Thais M,3.5,"Descobrir que SR. Barriga fez o filme me deixou com vontade de ver .Sobre o filme, historia interessante, agoniante e com final emocionante.",29.0,15.0
O Orfanato,Larissa M.,5.0,"melhor filme, mistura terror e suspense, o final é surpreendente hahaha",3.0,13.0
O Orfanato,cristiane bueno da veiga,4.0,Gostaria q alguém falasse em q hora q a Laura morreu? Fiquei sem entender! Mas gostei do filme mesmo a sim adoro suspense.,1.0,1.0
O Orfanato,Crismika,5.0,"Realmente uma obra-prima produzida pelo excelente e premiado Guilhermo Del Toro, roteiro genial de uma trama que une o passado ao presente, criando um suspense psicológico e espiritual acompanhado por uma trilha sonora e fotografia impecáveis resultam num belo e inteligente filme de suspense, mas com pitadas dramáticas. O tempo todo estamos esperando levar um susto, mas as cenas intrigantes nos assustam mais que o esperado susto. Destaque para a atriz Belén Ruanda que está excelente como a protagonista, na participação pra lá de especial de Geraldine Chaplin como a médium que traz revelações impressionantes para a mãe do garoto e a cena do atropelamento que nos deixa de queixo caído de tão rápida e certeira que nos atinge como se fosse conosco. Filme imperdível para quem gosta de um bom e velho suspense a moda antiga. SUPER RECOMENDO.",510.0,1176.0
O Orfanato,Paulo,4.0,"Depois de muitos anos,Laura já casada,volta a morar onde foi seu antigo orfanato. Seu filho começa a ter contato com uma outra criança.Fatos estranhos começam a surgir até que ele desaparece.Muito bom.",201.0,124.0
O Orfanato,Mariah M.,5.0,"Amei! um filme contagiante e sem muita enrolação, te prende até o final!  Com certeza um dos melhores filmes do gênero que já assisti",3.0,6.0
O Orfanato,Michael Pires,3.5,"Um bom filme de suspense/terror, prende ac atenção e dá bons sustos sem usar do exagero tradicional do estilo, mas não compreendi bem o final.",82.0,9.0
O Orfanato,David d.,5.0,"Quem diria, eu esperava um filme de suspense, que talvez me desses alguns sustos, mas acabou sendo uma mistura de suspense com drama, com um final bem emocionante. Não é todo dia que a gente pode dizer que um filme de suspense ou terror foi na realidade um filme lindo. O final é muito bom.",6.0,2.0
O Orfanato,Dalter L,0.5,Que perda de tempo.,34.0,4.0
O Orfanato,SilméiaVieira,5.0,"O orfanato prende o espectador do começo ao fim. Não é um filme com muitos sustos, mas com um suspense que causa muito medo. O coração fica acelerado de ansiedade! Inesquecível!",54.0,6.0
O Orfanato,betolani,2.0,"Um otimo suspende, realmente te prende, apesar do filme ser um pouco morno. AH, tem o Sr. barriga no filme, genial!!",60.0,8.0
O Orfanato,Alexandre Gordilho Bento,3.0,"Superestimado pela crítica. O filme é ""interessantinho""; nada mais. 
spoiler: 
 Não apenas o fato da mulher morre tomando três pílulas, a criança morrer caindo da escada..., mas até gravarem as vozes advindas da outra dimensão eles gravaram...
 Não apenas por isso, mas a história carece de mais conteúdo. Pobre... e quase chato. Apenas quebra um galho. Não recomendaria a um amigo, sendo que existem inúmeras outras opções...",25.0,4.0
O Orfanato,Jorge V.,3.0,"Uma estória interessante, bem ambientada e com bons atores. O suspense vai até o final, não dá ""brechas"" para tentar adivinhar o desfecho.Gostei.",18.0,5.0
O Orfanato,Tiago Rafael,2.5,"Bom concordo com o Guilherme , realmente o filme é muito bom pena que será refilmado em versão americana!!!!",6.0,
O Orfanato,Gabriel Lorenzo Ferro,3.0,"Esse filme é ok, tem um roteiro interessante, mas os personagens são bem chatos, e eu não cheguei perto de ficar com medo desse filme",88.0,2.0
O Orfanato,RMR,5.0,Relutei em assistir apenas por causa que o filme era espanhol. Mas assisti e me surpreendi. Um dos melhores filmes que assisti.  Suspense envolvente com drama e final surpreendente.,14.0,2.0
O Orfanato,Daniela M,3.5,"É um suspense dramático e não um terror ,entao, assista o filme por este lado para não se frustrar esperando um terror sangrento ( não têm), o enredo se é um tanto confuso se não prestar atenção em tudo, eu disse, tudooo ,até na folha que cai, pois filmes que têm o dedo de Gilhermo Del Toro semore nos desafiam a mente e percepção aguçada, o final é comovente, mas preste atenção, se não, não vai entender o porquê do final de Laura e Simon.",13.0,1.0
O Orfanato,Sara T.,5.0,"Excelente, mas tão triste que nem sei se recomendo. Terminei o filme mal, chorando muito. Mas de qualquer forma, foi muito bem rodado, otimos atores e ótimo suspense.",1.0,7.0
O Orfanato,Juliafers,5.0,"Um dos melhores filmes que eu já assisti em todos os tempos!!! Para quem gosta da temática espírita, vale a pena ver, o roteiro é muito bem costurado, com um ótimo desfecho. Super recomendo!",4.0,2.0
O Orfanato,Ido M,2.0,"Filme muito ruim. Não há terror algum, apenas um suspense bem fraquinho.  É um filme para quem quer dormir. De 0 a 10, um 4 está de bom tamanho. Acredito que por ser um filme de Guilherme Del Toro as pessoas supervalorizaram demais esse filme.",13.0,1.0
Zona Verde,Sidney  M.,3.5,"Em mais um trabalho juntos, Matt Damos e Paul Greengrass rendem mais um bom filme. Talvez não seja brilhante como Bourne, mais ainda assim o resultado é satisfatório. Bom filme sobre a guerra no Iraque, envolvendo as falcatruas do EUA.",1082.0,29536.0
Zona Verde,Artur V.,3.0,"Trata-se de um filme que mostra os interesses dos Estados Unidos ao Iraque, escancarando a verdade. Mas, na minha opinião, o filme, em todos os quesitos, não é ótimo. Apesar das duas horas de filme, a “correria” que se emprega atrapalha a assimilação da história e a criação de um vínculo com o personagem principal.",138.0,30.0
Zona Verde,Miguel Neto,4.5,"Ótimo filme, um choque de realidade. Já sabíamos que a mídia era manipulada na época para unificar a opinião pública sobre a invasão do Iraque, isso foi ótimo para o Presidente Bush que tinha sua popularidade muito baixa. Essa ação foi proposital, já se sabia de antemão que o Iraque não tinha armas de destruição em massa, mas mesmo assim, milhares de iraquianos e centenas de americanos foram mortos para manter a popularidade do Presidente Bush.O filme mostra bem esse intrincado jogo as forças envolvidas, a mídia, a política e os militares, pouco se pensa no povo iraquiano que é massacrado como formiga.Os efeitos especiais, a iluminação e o som nos coloca no meio de toda tensão existente. É angustiante ver civis dentro de suas casas, as vielas escuras e claustrofóbicas, guerrilheiros, soldados iraquianos e americanos por todos os lados.O filme é bem feito e uma aula da história recente,",98.0,75.0
Zona Verde,Roberto Carlos M.,4.0,"assisti no cine maior na tv record, muito bom mesmo, história bem dirigida, atuações convincentes, cenas de ação bem legais, dublagem nota dez.",443.0,3582.0
Zona Verde,Vilmar O.,3.5,"Bom filme que lança uma bela crítica ao motivo da 2ª invasão do Iraque pelos EUA para “achar as armas de destruição em massa”, as quais nunca foram achadas, mas “ajudou” aos EUA aumentarem ainda mais o déficit fiscal deles.Com Matt Damon no elenco.",357.0,2020.0
Zona Verde,wesleyaxe,4.5,"Adorei o filme, muito bem dirigido, sem perder ritmo em momento nenhum, mostra como a guerra é financiada por um jogo de interesses políticos. Matt Damon se supera a cada filme... muito bom!!",680.0,10914.0
Zona Verde,Sidney,4.5,"A saga Bourne consagrou esse grande ator que é o Matt Damon. O filme mostra uma estória ja conhecida, mas que foi muito bem elaborada e executada, o roteiro fala por si. A atuação Roy Miller (Matt Damon) foi muito boa. Vale apena conferir.RECOMENDO!",636.0,8957.0
Zona Verde,Um visitante,3.5,"-O mais verdadeiro trabalho que eu já vi sobre essa história.-E.U.A contra IRAQUE,tudo real  demais,magnífica história conduzida pelo diretor,e principalmente pelo MATT DAMON.Com certeza mais um grande trabalho desses dois.-Mais um filme de guerra que entra pra história do cinema.-ASSISTA.....",,
Zona Verde,Pamela,2.5,"Um ótimo filme, bem feitinho. Um roteiro bem original. Matt Damon está cada vez melhor. Nota 10",115.0,43.0
Zona Verde,Edson Ribeiro,3.5,Não é a toa que gastaram R$ 100 milhões. Ótimos efeitos especiais e história previsível.,14.0,3.0
Zona Verde,dalmofv,3.0,"...Bom filme, nada de sensacional, mas muita ação e bom roteiro. Matt Damon como sempre muito bem. O que me chamou atenção, talvez nem todos saibam, pois vi o filme em dvd e vi os bónus, o Matt Damon contracenou com soldados de verdade dos USA, e os caras o só o elogiaram, claro que pegariam elogios p colocar lá, mas me pareceram ter gostado mesmo de ter trabalhado com ele. Não chega nem de perto na triologia bourne, mas é um bom filme.",16.0,2.0
Zona Verde,D_teo92,4.0,"Um filme excelente, embora tenha um final um pouco fraco. Mostra como uma ""Fake News"" ( principalmente as disseminadas pela grande imprensa) podem ser catastróficas.",6.0,1.0
Zona Verde,Daniel Castro,3.5,"Paul Greengrass repete não só a parceria com Matt Damon, mas o estilo ""Bourne"" de filmar, camera no ombro e correndo, seguindo os atores pra lá e pra cá, gosto muito disso. Ótima direção, sua camera trêmula faz tudo ficar mais tenso, realista, tbm graças ao bom roteiro e as memoráveis sequências de ação, nada exageradas. Não é um filme perfeito, achei meio cansativo, talvez por isso prefira ""Guerra ao Terror"", mas certamente merece ser visto.",15.0,2.0
Zona Verde,Rick Pinheiro,2.0,"Um ótimo filme, com roteiro envolvente e inteligente, e boas cenas de ação, como os dois últimos filmes da Trilogia Bourne, que tem o mesmo diretor e protagonista deste Zona Verde.O que deixa um pouco a desejar é a costumeira falta de interpretação do Matt Dammon, que é esforçado, mas ainda muito limitado.Para quem gosta de filmes de ação com roteiro Zona Verde é uma boa dica.",21.0,2.0
Zona Verde,Oliveira,2.5,Muito bom mesmo. História bem conduzida e o roteiro bem original.,17.0,1.0
Zona Verde,Fernando C.,4.0,"Um ótimo filme que mostra o interesse dos E.U.A no Iraque, muito bom os efeitos de ação e também é boa a história do filme. Mas é um filme, em que você não prestar atenção direito, você poderá ficar perdido.  É um filme legal. Recomendo.",8.0,
Zona Verde,Digossa,2.5,"Um bom filme. E sem aquela historinha de sempre dos americanos bonzinhos (quer dizer, pelo menos em parte).",5.0,
Zona Verde,Fher B.,4.5,"Filme excelente, uma das melhores atuações de Matt Damon.Paul Greengrass faz com que você se sinta no meio a guerra,com certeza um dos melhores filmes que já assisti. Super recomendado.",2.0,
Zona Verde,BrunoG,4.0,...Um filme bom na ação no roteiro nas atuações etc...mais deixa a desejar no final !!mais é um filme que faz vc parar para assistir !!,2.0,
Zona Verde,Emerson,2.5,tdos Filmes com o ator Matt Damon sao bom o cara Sabe fazer filme de ação!,1.0,
Ilha do Medo,Robertao,5.0,Um dos melhores suspenses do gênero psicológico que já vi. Toda a trama te prende e dá uma sensação de confusão ao se perguntar quem realmente é quem nessa história. O desfecho é excelente e a trilha sonora sinistra aliadas à fotografia cinzenta e ambiente misterioso tornam o filme um thriller impecável.,12.0,21.0
Ilha do Medo,Um visitante,4.5,"O filme consegue nos afundar num estado de paranóia e tensão tão grandes, que fica difícil diferenciarmos mocinhos e bandidos, ou realidade e ilusão.A atuação de Leonardo Dicaprio, esta novamente soberba, a loucura e desespero que ele consegue remeter aos expectadores são de uma verossimilhança sem precedentes (pelo menos em sua carreira.). E ainda nos brinda com um desfecho tocante e melancólico, onde Teddy Daniels entende que é melhor viver sua vida e morrer como um homem bom, do que ser Laedis e viver como um monstro. A ilha do medo é um daqueles filmes que nos deixam pensando sobre ele mesmo depois de muito tempo em que o assistimos.O panorama, o movimento de câmera e a fotografia na cena onde o pelotão de Dicaprio fuzila “acidentalmente” uma fila de prisioneiros alemães na segunda guerra são tão belos que já valiam um Oscar.",,
Ilha do Medo,Marcio A.,4.5,"Um exemplar irretocável de como montar um quebra-cabeça psicológico de forma magistral. Scorcese inspira-se no suspense psicológico e cria um caleidoscópio de recortes selecionados -  que parte de uma investigação... para no decorrer cronológico da trama, tecer uma travessia enigmática e sombria em busca de sentidos e respostas para as questões do protagonista interpretado por Di Caprio. O restante do elenco se encaixa muito bem nesta teia de mistérios e descobertas impressionantes que encabeçam a construção deste belíssimo roteiro. A trilha sonora realça o clima soturno que perpassa de forma envolvente não deixando espaço para respirar. A alma do filme também está no grande trabalho de edição que amplia a plasticidade artística e a articulação do ritmo de intenso suspense. Tudo é mostrado com muita competência, e esmero; e em paralelo com o limiar entre o surreal e o real, se concentra todo o epicentro de segredos que são perseguidos desde o início deste excelente filme. Uma relíquia para os fãs da Psicologia e da Psicopatologia. Sensacional!",134.0,163.0
Ilha do Medo,Mr. Wayne,5.0,"Um dos melhores suspenses que já vi, quando você acha que está entendendo o que se passa, o filme vai lá e mostra que você pode não estar certo, o final algumas pessoas consideram interpretativo...SPOILEREle estava consciente de tudo que havia feito, mas preferiu fingir que recaiu e fazer a lobotomia, pois não suportava mais viver com seu passado.",2.0,
Ilha do Medo,Janiê Maia C.,4.0,"A Ilha do Medo (Shutter Island) – 2010 - Mais um filme super noir de Martin Scorsese!!!Boa tarde galera! Tudo ok? Hoje vamos falar sobre um filme super legal, que vale a pena assistir! O pôster do filme faz uma bela chamada ao espectador! Shutter Island (br: Ilha do Medo) é um filme americano dirigido pelo brilhante Martin Scorsese, lançado em fevereiro de 2010 e protagonizado por Leonardo DiCaprio, Mark Ruffalo e Ben Kingsley. O filme é baseado no ótimo livro ""Paciente 67"" do consagrado autor Dennis Lehane (ele não é muito conhecido aqui no Brasil, mas vale apena conferir suas obras).	O enredo do filme se passa no ano de 1954; quando os detetives Edward Teddy Daniels (Leonardo DiCaprio) e Chuck Aule (Mark Ruffalo) são encaminhados para investigar o desaparecimento de um paciente no Hospital Psiquiátrico Shutter Island, os pacientes são lotados por número, e é justamente o paciente 67 que desaparece. O problema é que ninguém sabe quem é o paciente 67, somente um do internados no hospital é que deixa charadas para o detetive Edward encontrar este. O hospital fica localizado numa ilha bem distante, onde comunicação é quase impossível, justamente no dia em que chegam ao local, a ilha é acometida por um temporal, deixando a possibilidade de viajar para casa nula! A partir daí Chuck e Teddy descobrem que os médicos do local usam métodos considerados mais do que bárbaros para tratar de seus pacientes. Tudo isso sob a vigilância do misterioso diretor do hospital, Dr. John Crawley (Ben Kingsley). Se você já assistiu Lost, deve estar ciente de que nem tudo parece ser realidade! Já adiantei um pouco do must do filme, realidade alternativa! A partir daqui, nada mais posso adiantar, se não o suspense vai embora! Martin Scorsese é sempre brilhante, poderia ter utilizado o money para fazer mais um filme obra-prima como um Taxi Driver, mas não, preferiu dirigir um suspense classe B, mas com uma elegância bem típica a la Scorsese. Não vou explanar muito acerca da filmografia dele, porque é bem longa. As referências aos seus outros filmes não faltam! O filme inicia numa cena na neblina, Taxi Driver? Os dois detetives trajados como investigadores dos filmes noir, Os Infiltrados? E por aí vai... A direção deste na adaptação de um livro para o filme, não deixou a desejar. Ele fez bem certinho. Tanto o filme como livro são ótimos! Mais uma vez Scorsese se garantiu!A fotografia da película é um dos pontos altos, é de banhar os olhos! A ilha, o hospital, a floresta e até mesmo o mar são ambientados com um nuvem cinzenta. Você percebe a tensão, o medo, o suspense só no olhar!O elenco é grande, surgem muitos personagens no decorrer do filme! Mas quem rouba a cena é sem dúvida Leonardo DiCaprio, Mark Ruffalo e Ben Kingsley. Uma constelação de encher os olhos. DiCaprio cresceu muito nos últimos anos, sua interpretação do detetive depressivo, que guarda um segredo bem tenebroso é simplesmente grandiosa! É penoso o sofrimento deste, junte-se a isso aos intenso flashbacks que ele tem de sua falecida esposa. Tais lembranças enevoadas com um toque de terror e drama! A parceria com Scorsese é bem conhecida, e está dando certo desde sempre, há sintonia é visível entre o ator e diretor! Mark Ruffalo é aquele conhecido ator das comédias românticas, melhorava a cada filme. Para mim é uma das revelações dos últimos anos, sempre suas atuações são intensas, dignas de prêmios! Que pena que ainda não ganhou um Oscar, é merecido, seus trabalhos sempre recebem boas críticas. Ao interpretar um detetive que sempre mostra o caminho a Teddy, Mark expõe mais ainda a nostalgia ambientada no filme. O papel dele aqui é confundir quem assiste.Ben Kingsley, o eterno Mahatma Gandhi do cinema. É um daqueles atores que dão um toque especial numa produção cinematográfica. Ele sempre atua de maneira atenciosa, sua entrega aos personagens é soberba. Ben, assume o personagem médico, onde mescla mistério e perigo. Mais uma vez, genial. Creio que A Ilha do Medo não é uma obra-prima, daquelas para citar nas maravilhas da sétima arte. Porém Scorsese soube fazer seu trabalho de forma digna e magistral, o filme vale sim pela diversão. Uma diversão cult, inteligente e para quem quer conhecer as obras do diretor. É inteligente porque o filme faz uma alusão ao horror do nazismo, pacientes com a cabeça raspada, acomodados numas salas tenebrosas, parecidas com cavernas. A Ilha do Medo obteve críticas mistas, uns gostam outros não, sou do time dos que gostaram! Aprovei, é aquele filme para um sábado à noite, com pipoca, guaraná e os amigos. “O cais é o único caminho para entrar e o único para sair.”	Bjoosss! Até mais!	 Janiê Maia Cunha",15.0,22.0
Ilha do Medo,raphaelssouza,3.5,"Leo sempre fazendo esses filmes cabeça, o filme tem uma pegada boa com o público e deixa um ar de quem tem razão no final e quanto nosso cérebro é perigoso, as cenas dos ratos é sinistra e como  e a cena dele com a mulher e caindo neve preta é linda como se fosse um quadro. #VaiPraEstante",136.0,84.0
Ilha do Medo,João Paulo S.,4.5,"Um ótimo filme, recomendo. Durante todo filme você fica intrigado e vai vendo que existem mistérios na trama (
spoiler: 
principalmente com a revelação final
). Ação, suspense, dúvidas, tudo isso você vai ver nesse outro grande filme de Martin Scorsese e grande elenco.",6.0,16.0
Ilha do Medo,Ricardo L.,5.0,"Obra primorosa! Um dos melhores filmes no gênero Psicológico já produzido, perfeito em quase todos quesitos, atuações formidáveis de SR; Ben Kingsley, Mark Ruffalo e Max Von Saidow, mas destaque maior para Leonardo de Caprio que está incrível em uma de suas melhores atuações, Roteiro é perfeito, trilha sonora é estupenda, fotografia é de impressionar, não dar pra entender como esse filme não concorreu a nenhum óscar, na minha visão merecia no minimo 14 indicações e 4 prêmios, mas....",3053.0,62543.0
