autor_comentario,nota_comentario,conteudo_comentario
raphaelssouza,1,leo fazer filme cabeça filme pegada público deixar ar razão cérebro perigoso cena rato sinistra  cena de ele mulher cair neve preto lindo ser quadro vaipraestante
João Paulo S.,2,"bom filme recomendar durante filme ficar intrigado ver existir mistério trama 
  spoiler 
  principalmente revelação 
  ação suspense dúvida outro filme martin scorseser elenco"
Ricardo L.,3,obra primoroso bom filme gênero psicológico produzir perfeito quase quesito atuação formidável sr ben kingsley Mark ruffalo max von saidow destaque Leonardo caprio incrível bom atuação roteiro perfeito trilha sonoro estupendo fotografia impressionar pra entender filme concorrer nenhum óscar visão merecer minimo 14 indicação 4 prêmio ....
Fabiano O.,3,gênio cinema martin scorseser elenco tratar produzir filme base suspense psicológico boa!é fazer ilha medo leonardo dicaprio assumir papel principal trama scorseser teddy daniels delegado federal junto chuck aule interpretar mark ruffalo ilha Hospital psiquiatrico criminalmente insano investigar desaparecimento paciente chamar rachel solar mulher afogar próprio filho ter ir encontrar dr. John crowley passar conhecer mistério ilha achar suposto rachel Furacão passar ilha acabar sistema segurança ocasionar fuga prisioneiro pavilhão teddy começar confrontar se alucinação esposo morta fantasma passado presenciar muito morte guerrar assassino de ela prender ilha encontrar prisioneiro haver informar ilha experimento ilegal prisioneiro desconfiança ficar ser caçar controlar ilha teddy ficar noite caverno encontrar verdadeiro rachel revelar pra ilha instituição transformar perigoso opor método tentar prende-los ilha pegar ir acreditar ser paciente ilha ilusão encontrar dr. crowley teddy mulher morrer assassinar assassinar filho alegar nenhum paciente ilha nome andrew ilusão convencer paciente perigoso ja fazer telespectador interpretar realidade ilusão brilhantemente fazer bugar cérebro gerar próprio interpretação atuação excelente dicaprio deixar rostinho bonito ator ótim mark ruffalo ben Kingsley dr. crawley scorseser dirigir produzir perfeição confundir maestria mente assistir unir realidade ilusão ultrapassar barreira racional gostar exatamente mundo perfeito combinar excelente trilha sonoro fotografia bom filme gênero
Talita Lopes,3,filme trama prender início assistirar novamente
Luana O.,3,assistir filme filmaço di caprio excelente atuação fotografia perfeito bom roteiro sombrio misterioso bom filme
Maria,3,“ viver monstro Andrew Laeddis morrer homem teddy daniels ” ver experimento psiquiatra dr. John crawley ajudar psicólogo dr. lester sheehan dar certo Andrew Laeddis Leonardo dicaprio curar finger insistir ilusão teddy daniels Andrew laeddis precisar lobotomia dr. Jeremiah naehring dr. Jeremiah naehring achar certo método humano invasivo dr. John crawley funcionar “ sanidade escolhar ” dizer dr. John crawley Andrew laeddis escolher insanidade fingir teddy daniels ir voluntariamente lobotomia suportar viver culpa morte família preferir abrir mão real consciência
Thomas Jefferson,2,deslumbrante assustar envolvente tentador trilha sonoro tenso envolvente
Camilla M.,3,filme excelente entendi Leonardo dicaprio ganhar oscar ator divino filme diferente absolutamente excelente
Rodrigo o que?,3,"inferior antigo trabalho scorceser bom superestimar irlandês""冷 chocante surpreendente"
Jairo D.,3,bom suspense paranóico esquisito roer unha perplexo reviravolta final ter assinatura martin scorseser célebre presença marcante Leonardo dicaprio mark ruffalo impactante
Um visitante,1,vasto filmografia scorseser shutter island exemplar figurar querir claro filme ruim Martin incapaz história cara de ele dicaprio ótimo filme bom momento ... ruim mornar pro padrão cineasta responsável conseguir entender motivo de ele escolher projeto pra perceber thriller praia de ele ter deixar mão outro realizador resultado ter ser interessante conseguir comprar situação hospício reviravolta pra mirabolante explicação vaga conseguir sentir drama personagem principal arco colcha retalho pra envolver trama si improvável enfim suspense mediano elevar atuação dicaprio scorseser bom
Eliane,3,filme interessante lento próprio trama pedir Leonardo di caprio ótimo pra adora suspense mistério perfeito vc achar matar charada filme chegar de aquilo surpreendente
Fabricio Menezes,3,entrar pro top 3 filme scorceser taxi driver gangue york história genial esteticamente perfeito trilha sonoro fantástico levar pra ilha obra-prima pra carreira diretor
Alexandre C.,2,suspense pisicologico altíssimo dirigir    scorcese estrelar di caprio parceria dar certo suspense totalmente inesperar filme
AndréL0pes,3,filmaço prender começo atuação marcante drama elemento terror dirigir surpreendente incrível filme trazer muito nostalgia recomer
Estevan Magno,1,filme atuação dicaprio ben kingsley Mark ruffalo momento deixar desejar vale pena assistir noite crescer suspense
MichaellMachado,2," dúvida ilha medo bom filme assisti suspense psicológico tirar chapéu épico contar belo atuação Leonardo dicaprio facilmente poder ganho oscar dennisr lehane autor obra original parabéns obra magnífico assistir ""é bom viver louco morrer homem teddy daniels"
Daniel Novaes,3,atuação espetacular Leonardo di caprio filme igualmente genial plot twist estourar cabeça sentido filme obrigatório
B.Boy Jc,1,filme superestimar momento ficar lento quase enfadonho atuação bom desfecho
Anderson  G.,2,ilha medo filme buscar envolver telespectador conseguir direção artístico incrível roteiro instigante ótimm condução apesar longo filme cansar Martin scorseser diretor brilhante fato filme tomar escolha narrativo principalmente ato final- curto época influenciar cara nolan m. night Shyamalan scorseser obra ser grande    condução artístico roteiro ótima desfecho previsível    Mark ruffalo graçar algum personagem apático Leonardo dicaprio outro filme puramente terror scorseser transitar diversos gênero suspense terror policial aventura etc. nota 8/10
Crismika,3,filme primeiro cena pra suspense frente diálogo inteligente graças super diretor martin scorseser roteiro amarrar excelente ator fotografiar enfim de aquele filme imperdível principalmente gostar filme inteligente fazer recomendo imperdível
Dennys R,1,   filme trama interessante surpreendente atuação Leonardo di caprio trabalho fazer
Dudu S.,3,excelente obra prima!mal filme excelente scorseser mostrar provavelmente bom diretor hollywood atualmente filme bom carreira devido talento tornar marca pessoa ver nome de ele filme saber esperar filme bom.o roteiro maravilhoso direção scorseser vida roteiro jeito fantástico mostrar direção importante primeiro 40 minuto chatinho lerdo de aí filme começar ficar longo desenvolver desenvolver personagem principal contar história de ele passado filme inesperado supreendente espectador ficar surpreso acontece.como falar cartada filme direção scorseser coisa filme perfeito leo dicaprio trabalhar dicaprio bom ator hollywood decepcionar atuação melhor si
Artur V.,3,excelente    haver negativo filme coloco destaque atuação aspecto magnífico
Denise S.,3,... fiquei boquiaberto .. filme parar inteligentíssimo valer pena assistir pq falar deveras surpreendente
Diego Jorge,2,filme trama fantástico filme prender render plot twist elenco peso enredo extremamente detalhado coeso longo desenvolver muito emoção originalidade valer pena
Davison P.,2,ilha medo 2010)um bom ano Leonardo di caprio Mark ruffalo ganhar oscar excelente ator lembro ano saí sábado reunimos casal lembro cara inteligente entender cinema afirmar Leonardo caprio péssimo ator pior cagada ter fazer sfôr filme titanic quase mandar tomar debati ator jovem interpretar papel principal filme bilheteria ano avatar desbancar dar salto enorme carreira ganhar dinheiro ficar canto mundo causar ciúme namorado talve ser decepção cagado vida de ele dar desculpinhas satisfeito insistir péssimo pedir pra acompanhar crítica kkkkkk
Um visitante,2,filme fotografia lindo conseguir misturar jogo luz brilho passar aspecto sombrio medo contraste perspectivo histório multi fase enganar visto Leonardo di caprio espetacular incrível precisar terror encocar medo
Carlos Henrique S.,2,Martin .... for novidader ninguém martin Scosese grande tempo parceria sensacional Leonardo dicaprio pra esperar trabalho ter estrela cinema resultado ser fantástico filme de aquele brincar mente titulo sugerir terror verdade belo suspense trabalhar brincar realidade paranoia envolver espectador roteiro eficiente criar suspense brincar expectativa achar deixar dúvida sentir determinar personagem esconder roteiro elenco altura estrelar dicaprio arrebentar Mark ruffalo ben kingsley michelle willians papel produção excelente contar fotografia ambientação contar trilha inquietante composta encaixar matin scorseser Brinda obra espetacular dirigir ótimo roteiro ótimo atuação desfecho extraordinário plot virar cabeça
Thay,2,filme maravilhoso fotografia excelente elenco gostar gênero filme intrigante prender início
Vinipassos,3,excelente filme suspense psicológico atuação ótimo enredo mt frase desfecho incrível
alexandrecunha,1,filme suspense interessante achei enredo realmente distinto achar faltar alguma explicar pessoal faltar sal filme
Elvira A.,2,Leonardo di caprio voltar surpreender filme dirigir martin Scorcese início lento suspense psicológico crescer surpreendente dramático ben Kingsley Max von sidow michelle phillips bom participação
Keu C,1,"spoiler 

   filme .. so q confuso .. valhe pena assistir"
Ricardo L.,2,perola    woody allen ter elenco    larry david evan Rachel Wood excelente filme delicioso    diálogo super inteligente bom comédia décadar
Um visitante,1,-filme assistir 01 março 2016    -nota 6/10a apresentação Larry david super divertido começo conseguir prender história narrar evan Rachel Wood ótima dupla ator contar colírio histório
Guillermo M.,1,diálogo divertir narrativa ficar intelectualizado
c4rlc4st,2,mostrar potencial primeiro 10 minuto filme monólogo parede quebrar voador cara longo filme subversão muito risada infelizmente desenrolar trama fugir acidez apresentar início
cinetenisverde,2,imprevisibilidade acontecer torno história síntese filme caos conhecimento bater frente crença obviamente tratar filme Woody allen ser devidamente criticar protagonista crise existencial pós-divórcio prova sócir diretor apesar refinar intelectualmente protagonista sentir mesmo sentimento humanos expressar maneira sutil tornar os evidente espectador
Thalita Uba,2,allen fácil perceber filme nova-iorquino apaixonar big apple nascer 1935 velhinho contabilizar 43 filme dirigir escritos 23 nomeação academio oscars incluir bom diretor de eles sinal conquistar domingo – estatueta bom roteiro original meia-noite Paris Midnight in Paris outro filme falarei post futuro produção ir recomendar hoje popularizar filme allen ser bom obra valer atuação risada garanter excelente “ moral história ” abertamente explícito filme produzir 2009 larry david evan Rachel Wood protagonista certo whatever works relatar história boris yelnikoff professor aposentado universidade columbia hoje professor xadrez rabugento intolerante divorciar evita relacionar pessoa ter contato aluno xadrez humilho menospreza constantemente velho amigo criticar equiparar intelectualmente vida mudar completamente dia voltar casa boris encontrar jovem 21 ano – melodie – dormir porta casa relutantemente deixar entrar comer algum contar história papo papo boris acabar permitir ficar casa encontrar emprego surpreendentemente jovem acabar interessar velho rabugento muito insistência de ele acabar ceder casar convivência mãe melodie aparecer dizer procurar durante obviamente ficar feliz filha casado senhor mal-humorar “ ajeitar ” filha rapaz mostrar interessar dia restaurante próprio “ ajeita ” amigo boris passar viver trabalhar fotógrafa bastar confusão pai melodie surgir história apesar intenção inicial procurar esposo filha acabar fazer descoberta absolutamente inusitar rumo vida completamente modificar muito ida vindas reviravolta divertidíssimo filme terminar festa ano casa boris completamente diferente começar pessoa jamais imaginar conviver harmonia conversar rir juntar casal jamais imaginar possível trocar jura amor eterno boris explicar título filme tradução perder sentido “ moral história ” precioso ver vir filme
Anderson,2,arrependimento filme lançar 2010 antar vê-lo 2022 3022 impacto Woody allen eterno ultimamente massacrar justiça versão pedófila manter absolutamente intacto versão diretor autor magnífico jeito esquecer versão criminoso horinha desfrutar culpa precioso oferecer humano realmente múltiplo interpretação maravilhoso evan Rachel Wood Larry david sincero ator fotografia lindo roteiro envolvente permitir único distração perdoem-me politicamente correto chato Woody allen continuar dominar cinema exaustão
Icaro G,1,ver comentário acima gostar comentar dizer filme inteligente … roteirista tentar convencer cara inteligente filme inteligente falar coisa mirabolante difícel entender inteligência amigo bêbado maestria filme filme digno pagar 30 conto alto estação cine =] pra rir divertir
Anderson,2,arrependimento filme lançar 2010 antar vê-lo 2022 3022 impacto Woody allen eterno ultimamente massacrar justiça versão pedófilo manter    absolutamente intacto versão diretor autor magnífico jeito esquecer versão criminoso horinha desfrutar culpa precioso oferecer humano realmente múltiplo interpretação maravilhoso evan Rachel Wood Larry david sincero ator fotografia lindo roteiro envolvente permitir único distração perdoem-me politicamente correto chato Woody allen continuar dominar cinema exaustão
Renan Rossi,2,divertido homor negro Afiadíssimo bom
Rafael V,2,filme maravilhoso divertido humor sarcástico inteligente protagonista viver larry david alter-ego perfeito Woody allen atuar filme dirigir roteirizar roteiro personagem inteligente arrogante pouco mudar comportamento presença inesperado vida personagem viver evan Rachel Wood boris começar rever conceito arrogância prepotência genial bom filme allen Match point
Sr. Ketilys,1,ja transformar preferido Woody eh simplesmente genial engracar divertido libertario
Tiago M.,2,sarcasmo excelente merecer nota
Emanuel Madeira,2,conhecer cinema Woody allen receita ótimo filme mulher lindo belo cidade mundial discussão filosofal vida banal certo longo Larry david roteirista famoso série seinfield papel principal Bela evan Rachel Wood coadjuvante    mostrar visão comico-conformista peculiar filme assinar allen filme tratar coinscidêncio vida quão cômico dramático situação ver ex-professor acadêmico meio idade desiludir tentar compreender insignificância vida encontrar ingênuo inocente menino 18 ano sarjeta casa alguém crise esperar mudança rumo vida filme tirar grilo costumar apavorar precisar dever esperar algum importante acontecer crítico vida acabar formar dilema existencial filme sentir algum ajustar tornar derrotista planejarar eles ocorrer precisar enxergar preciso mudar objetivo preciso arriscar coisa imaginar poder coisa acontecer vida surgir ´ plano ´ bom amizade paixão acabar tornar amor vida concurso ´ farrar ´ adivinhar passar … apesar poder contar acaso preciso lembrar existir algum acabar acontecer precisar fé principalmente mover pouco certo preciso pedir calmo vida pedir paciência dir profético verso lenine
stefanojosef,1,simplesmente genial estar metade ano filme bom ano Woody allen brilhantismo diálogo construir reviravolta trama protagonista representar essência inteligente sarcástico rabugento destaque larry david par romântico representar evan Rachel Wood atuação brilhantismo papel protagonista altamente recomendar apreciar comédia inteligente estilo Woody allen
Deyse Montenegro,1,bom filme 2010 diálogo humorar seco sarcástico toque especial filme diferente interessante filme ganhar 5 minito valer pena
Patricia V.,1,Woody allen muito acertar erra filme eu errar claro filme ruim passar mostrar gênio
Matheus S.,3,filme genial crítica engraçado inteligente àqueles passar imagem de aquilo viver busca reconhecimento possuir filme levar sarcástico excelente
Alegria,2,... sarcasmo conteúdo diálogo crítico sociedade modo mostrar essência encontrar felicidade satisfação personagem descobr libertar sociedade prender lembrar certo filósofo alemão bigodudo pra eu bom woody allen
patriciamf,1,diversos opinião filme achei interessante falarr fé cristã filme quistar falar inovação modernidade mundo atual filme prafrentex dir avó gostar filme filme humor ácido chocante interessante refletirr termo discussão diverso filme
Roqueirodabaixada,3,assisti 2/3 filme parar imaginar deprimente 2 dia tomei coragem continuei assistir simplesmente adorar
auler_juliana,3,bom
Marcos Wainstein,1,whatever works Woody allen retornar comédio nova-iorquino análise humorar extremamente ácida humano usar boris yellnikoff porta voz boris yellnikoff rabugento mau humorado grosseiro frustrar engraçar larry david interpretar boris atuação diga ... desconcertante cheio piada rapido ficar humor refinar em isso lembrar personagem allen intrepretar puro grosseria Larry david encarnar homem cheior neura hipocondríaco achar gênio aliás achar hora dotar visão realista mundo boris de aquele parecer jeito .. entrar vida completo imbecil extremamente encantador melodiemelodie evan Rachel Wood mão allen ficar quase ótima representar boris detestar humano idiota cheio frase pronto sonhadora burra extremo conhecer momento engraçadissimo boris soltar grande divertido frase poder imaginar referência burrice menino melodie incomodar contrário poder imaginar acabar encantar pretenso genialidade boris yellnikoff .. nascer em ele admiração velho rabugento valer ressaltar allen fugir mesmice contar história simplesmente boris continuar chato pessimista estar viver encantadora melodie demonstrar redenção clichê tanto filme ano casar melodie boris surpreendir chegar mãe melodie espectador agraciar divertido excelente atuação patricia clarkson Marietta chegar mostrar pessoa mudar conduzir ideia evolução allen mostrar filme evolução politicamente correto evolução mental Marietta chegar cristã interiorano transformar artista fotografar viver homem filme pregar ser certo errar mostrar ampliação horizonte contar divertidao bacanão filme estar exposto boris continuar ser pra pessoa concerto ... melodie conhecer outro homem vida suicer novamente sucesso jeito inusitar acabar conhecer pequeno redenção maximo filme jsutificar .... certotudo certo retomar estilo consagrar genial Woody allen comédia inteligente cheiar diálogo ácir personagem expressar cru divertido humano narrativa sacar filme larry david conversa espectador contar história brincar público cinema lembrar filme allen amar manhattan ... aventurar Europa mostrar versatilidade anterior Match point cassandra dream almodovariano Vicky cristina Barcelona allen voltar estilo trazer comédia delicioso apaixonante ... whatever works filme imperdivel neurótico genial noticia
Husky,1,acido sarcastico
agathe,1,certo 	  wood allen figurar tarimbar trágico-comêdias nova-iorquino tema existencial psicanalítico criação encantar surpreender desavisado allen atacar novamente obra primo filme certo contar excelente tema atual wood trabalhar perspectiva contemporâneo filme comedir discussão filosófico amigo lerryr david Boris yellnikoff protagonista historia relatar crença descrenças boris professor universitário lesionar mecânico quântico aposentado passar dia pensar humano relação social boris extremamente pessimista descrente visão decadente humano tratar cientifico filosófico torno vida observar importante pessoa normal tema engraçar sério causar reviravolta inesperar wood baseia-se teoria moderno ciência comparativo relação humano sentido vida formular teorio acaso caos próprio ordem ordem problema basear físico quântico exato mecânico quântica acreditar teoria ultimo verdadeiro exedendo-se obscuro relações humano referente procurar felicidade procurar achar ela algum sair padrão gente imaginar acaso caso inesperar boris melodie servir tema ilustrativo “ próprio teoria trair ” pegos pé boris saber total segurança disparidade idade idéia ajustar embarca escritor “ esteja adestrar vida existir arrebatar prova ”     bori melodie vai-se bordar história personagem narrar boris pessimismo ferrenho revoltar devido acreditar enormidade burrice contir certos ser humanos wood surpreender texto maravilhoso rechear teoria científico filosófico moldar dizer clássico cinema nova-iorquino    físico quântico teoria filosofia moderno descontinuidade psicanálise filósofo deleuze nietzsche psicanalista Guattari cientista Wittgenstein basear teoria corda princípio matemático utilizar teoria permitir físico afirmar universo possuir 11 demissão 3 especial – altura largurar comprimento 1 7 demissão curvar massa carga elétrico explicar característica força fundamental natureza acordo teoriar corda elementar universo partícula puntiformes – mínimo filamento unidimensional elástico infinitamente fino vibrar cessar teoria propor roda matéria força provém único componente básico – corda oscilantes “ teoria explicar ” muito filosofia criticar social wood formatar filme criar comédia trágico-romântico diferentes temática reciclar tema feitura anterior dar visão espantosamente questão desejo decepção humano abordar filme maneira inteligente artístico gostar wood manter intelectual judeu nova-iorquino prender espectador telinha mágico ass golon Byron
Manoela Montero,1,cinema fonte expressão troca sensibilidade “ tudo certo ” – Woody allen – “ whatever works ” EUA França 2009 	  “ ir escrever ” conversar comigo mesmo dirigindo-me “ manoelito deixar escrever pensar coisa interessante ir frente ” dar-me contar Woody allen conversar conosco início filme ator ser gente 	  retomo conversa dia seguinte noite produzi eles dizer toa digo-lhes acontecer comigo escrever mostrar viver 	  dizer olhar poder viver filme algum fêz-se pergunta haver resposta imediato dizer “ perguntar resposta ” perguntar ficar ecoar fazer levar plaga lugar mesmo ajude compreender bom viver reproduzor li cedinho “ mistério inesgotável enigma decifrar perder graça mistério envolve-nos carrega-nos dá-nos sabor aprofundar em ele em ele adentrar jamais esgotar ele experimentamo-lo carregando-o verdade conduzir ” frei walter).viver mistério vivar atenção saboreemos ir filme ir lembrar diálogo saber rápido denso Woody allen wa supérfluo superficial confrontar questão existencial filosófico religioso entranhar muito relação cotidiano tratar concordar sabermos questão homem contemporâneo tempo imerso dúvida incerteza desejo presente manter esperança acreditar “ certo ” crer wa jeitão irônico preferir “ funciona ” – “ whatever works ” toa nome jovem melodie st ann celestine “ melodia ” filme personagem surgir de ela puro virgem teto fome pedir comida abrigo ingênuo ofende mostrar olhar compreensão inda “ naïf ” leal fiel verdadeiro expor franqueza autenticidader sentir pensar confronto melodioso santo puro celestial condição nascente distanciar condição viver relacional humano trama boris yetzinsky gozação boris sparsky invencível campeão xadrez russo presidente palhaço boris yeltzin – observação izaak dialogar existir representar melodie afetar mesmice rabugice encontrar mãe pai melodie intelectual ser afetar incorporar mudança fixem opção vido seguir sair mesmice mãe companheiro pai viver homossexualidade diálogo questionar crença religião deus lembrem-se mente genial privilegiar wa ir criar obra abrangente profundo conformes idéia filme tratar incerteza improvável inesperado mostrar sincronicidade amor condição necessário aceitação outro repensar ser “ poder funcionar ” fundamental claro repensar outro necessário território improvável mistério viver dizer izaak “ ‘ ’ agrego viver junção parte    encontro elemento mosaico importante ingênuo idiota inculto preconceituoso erudita    ser representar garota mãe pai intelectual ” aproveitar filme aproveitar diálogo aproveitar viver aproveitar incerto!manoelita1408@yahoo.com.br – 03 junho 2010
Julianaalves,1,fo cristão assistar filmea histório senhor conhecer garota pano fundo pra vardade contar história família cristã deixar acreditar deus mãe morar homem pai homem ... ficar feliz estar ... resumir moral filme deixar acreditar deus siga vida    ser feliz
Estevan Magno,3,magia cinema retornar cinema hollywood obra primo arte hugo cabret chamar atenção lindo qualidade enredo perfeito desenrolar lindamente efeito especial uso perfeito jamais fazer 3d trilha sonoro outro forte película contar música canção apaixonar personagem direção minucioso martin scorseser qualidade filme ideia apresentação incrível roteirista editor atuação elenco esplendoroso tirar história hugo incrível afinal história cinema conhecer aclamar diretor cinema georges Melies descobrir vida ligar diretamente ajudar cineasta robô exalar sentimento eriçar nuca emocionar deliciar principalmente aclamar filme merecer receita merecemos dever agradecer verdadeiro rei cinema martin scorseser homem mente coração descobrir mostrar mundo mero humano deixar viver chorar hugo vencer oscar preciso conquistar coração
Pati Lima,3,lindo história filme inesquecível ... curte filme repleto magia clássico
Leonardo d.,2,homenagem primórdio cinema mediante uso genial sensação tecnológico linguagem 3d . scorseser envelhecer envelhecer sabedoria nostalgia saudável conseguir adaptar tempo
Loo,3,obra fantástico dizer criticar membro lucas salgar encaixar gênero particular ... belíssimo obra realmente palavra descrever contar história hugo personagem fantástico foco principal obra realmente apresentar história incrível arte cinema
Miguel Neto,3,fantástico filme inteiro repleto magia perfeição técnico puro poesia virar clássico
Um visitante,3,bom filme infanto-juvenil drama aventura histório contar ótimo ator característica interessante filme contar história início cinema pessoa saber ler resenha completo link abaixo
Bismark L.,2,confessar esperar filme apesar filme Martin scorseser vencer 5 oscars chamar atenção enganar surpreender belo história cenário incrível imagem lindo filme grande fotografia cinema render oscar terminei assistir fiquei Surpreso comigo esperar tanto!hugo cabret menino pobre órfão viver parede estação tr Paris pai morrer ficar cuidado tio alcoólatra acabar dar trabalho manutenir relógio estação pai hugo morrer deixar autômato maquina escrever humano hugo acreditar maquina mensagem pai pra consertar autômato hugo começar roubar peça loja brinquedo pertencer papa georges senhor ficar surpreendido hugo pretender começar rolar mistério papa georges interessar autômato esconder passado    ai história começar terminei assistir filme fiquei Surpreso tratar história autômato foco principal importante participação titulo nacional enganar bem!confesso ler livro filme totalmente fiel á obra original deixar encantar filme fotografia incrível bom ver fotografia filme incrível acabar virar personagem filme achar mesmo ter magia obra scorsese!quanto roteiro parte técnico bom efeito especial suficiente pro filme hugo cabret filme pra rever apreciar aprender emocionar personagem cativante hugo irritar sentido personagem station inspector notar 8.6
Um visitante,2,belíssimo homenagem Martin scorseser origem cinema transição metade dickensiano roteiro pessoa méliès homenagear primórdio cinema orgânico paixão scorseser tema perdoar abraçar filme quase completo tecnicamente irrepreensível irregular narrativa homenagem cinema funcionar belíssimo filme perder excesso personagem secundário desinteressante drama menino bobinho desdobramento trama frustrante ligar filme cheio afeto esquentar coração
Sr.Fernandes,1,filme ser avaliar resolver assisti-lo cinema resultado ... tédio total filme horrível graça    começo hoje entendo filme fraco avaliar hoje 5 ano lançamento fiz vir deixar crítico filme sinceramente ruim
Agnaldo S.,1,filme cansativo perca filme começar devagar omeio filme lento terminar raiva pq perder filmezinho
apenasumr,1,invenção Hugo cabret filme muito aventura historio filme
Vinícius d,1,achar bacano citar cineasta georges méliès referênciar principal filme achar diluer história cair propor título obra falar menino hugo cabret filme decepcionar entedia chateiar esquecer claro setor comercial brasileiro lançar obra belo caga .. escolhar título levar incauto achar filme genialidade garoto asa butterfield ator Mirim medíocre padrão obra acompanhei bom ator mirins rosto bonito comover muito gente époco esperar lindo história oliver twist obra errar título intenção troca genuinamente ter ser falar obra Georges méliès ter ser genuíno 120 min filme entendiante claro Martin scorseser agrar gosto bu .. ... esperar perdi assistir diretor francês merecer louro trabalho histórico discutir ben Kingsley atuação agradável acompanhar obra inteiro
Ricardo L.,3,obra primo Martin Scorcese filme mostrar origem cinema pouco atuação ótimm ben Kingsley monstro sagrado cinema mundial sacha baron coen Ray Winstone jude law cristopher Lee Chloe grace moretz protagonista asa butterfild funcionar passar realidade á scorcese cobrar roteiro 1 ° qualidade filme indicar 11 óscar recordista ano ganhar 5 ser efeito visual fotografia edção som direção arte mixagem som super merecir poder levar roteiro adaptar direção gênio Martin invenção hugo cabret fazer grande diretor história cinema
Um visitante,1,-cansativo ... poder falar começo filme legal ... poder falar filme cansativo ... final.-estamos cansar filme saber história principalmente produção fraquinho
leodf29,1,cadastro comentar filme ruim recomendar ninguém gastar dinheiro assisti-lo totalmente acordo Felipe santano feliz comentário nome trailer filme imaginar ter viagem mundo imaginário ... ter váio efeito especial ........ saí cinema cansado arrepender recomendo pior filme chegar pessoa respeitar opinião cidadão paolo deixar cara opinião de ele gostar bastar expor opinião .... menino 4ª série pow
Pedro C.,1,filme merecer oscars pensar harry potter relíquia morte ii superior filme aspecto efeito visual ter oscar merecido categoria filme
Carlos Henrique S.,2,"ano contribuição cinema martin scorseser retratar tema importante adulto filme filme classificação levar eis dirigir invenção hugo cabret presente cinema carta amor cinéfilo filme parecer aventura familiar ficção científico tornar diretor consagrado martin scorseser dirigir maestria impressionante filme basear livro nome escrever Brian selznick trama abordar jovem órfão chamar hugo cabret viver relógio robo funcuonar chave garota conseguir chave embarca aventura confessar esperar aventura tradicional diretor diferenciar passar história cinema funcionar biografia documentário especificamente contar cinema criação irmão lumière 1895 george Méliès centena filme filme ficção científico viagem á lua 1902,tudo filme extremamente nostálgico avançar desenvolvimento tecnica cinematográfico incluir 3d scorseser utilizar fazer alusão aumento tecnologia filme indicar 11 categoria oscar merecidamente técnica impecável design produção espetacular fotografia lindo cinematografia uso tracking shots câmera panorâmico movimentação suave flutuante belo movimento horizontal realmente aular cinema montagem perfeito efeito visual especial bom figurino ambientação belíssimos nostálgico direção arte realmente fantástico trilha sonoro apaixonante elenco apesar jude law aproveitar destaque ben kingsley narrativa tocante chloë grace Morets asa butterfield      operante roteiro pecar ato dividir trama seguir paradeiro hugo continuar filmaço filme retrato perfeito cinema clássico carta amor cinéfilo"
c4rlc4st,2,técnica primor estilo scorseser mostrar sensível prova subverter encantar
Guilherme R.,2,morte pai incêndio hugo cabret asa butterfield morar estação tr tio algum falecer menino cabret passar morar sozinho estação herda função tio acertar relógio pai jude law hugo deixar autômato peça enigmático engenhoca mensagem pai menino empenhar consertar ela descobrir menino conhecer isabelle Chloe moretz tecer sensível amizade ficar explícito companheirismo solidariedade sentimento verdadeiro amizade garoto passar ajudá-lo reconstrução robô filme adaptação livro homônimo Brian selznick funde-se realidade contar história cinema mostrar irmão lumière verdadeiro precursor arte 1895 thoma edison pensar certo licença poético apresentar nós vida georges Méliès nome cinema conturbar georges Méliès ben Kinsley hugo responsável reconstrução vida diretor iluder infeliz “ propósito vida propósito acabar consertado ” chegar jovem cabret invenção Hugo cabret 2012 martin scorseser produção johnny depp – gente – ver homenagem precursor cinema passar estação trem    alusão filme produzir chegar trem estação irmão lumière apresentar história cheio conhecimento informação valioso contar nascimento cinema valer pena assistir filme
Thomas Jefferson,1,martin scorseser filme calmo cansativo 3d chegar avatar filme ficar drama envolvente efeito lir arrancar lagrima homenagem origem cinema
moreiraum,3,ver chamar pensar ir filme explorar magia sobrenatural esperamo s filme sucedir filme vida garoto órfão buscar resposta encontrar solução .merecidamente ganhar oscar fotografia filme lir olho exigente
